#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T00:42:31 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T00:42:31	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/ApJ/843/16/table2&-out=PGC1,Nm,logK,Dist,sigmaV,R2t,Rg,logMK,logMd&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18430016
#Name: J/ApJ/843/16
#Title: Galaxy groups within 3500km/s (Kourkchi+, 2017)
#INFO	ivoid=ivo://cds.vizier/j/apj/843/16	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/843/16	    IVOID of underlying data collection
#INFO	creator=Kourkchi E.	    First author or institution
#INFO	cites=bibcode:2017ApJ...843...16K	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2017	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/843/16	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18430016	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-05-14	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	G:	galactic
#Table	J_ApJ_843_16_table2:
#Name: J/ApJ/843/16/table2
#Title: Catalog of galaxy groups
#Column	PGC1	(I7)	[35/9002824] Group Principal Galaxies Catalog ID (1)	[ucd=meta.id]
#Column	Nm	(I3)	[1/714] Number of galaxies in the group	[ucd=meta.number]
#Column	logK	(F5.2)	[1.7/13]? log Ks band absolute luminosity of group	[ucd=phys.luminosity;em.IR]
#Column	Dist	(F5.2)	[0.01/94.2]? Distance of group (G2)	[ucd=pos.distance;pos.heliocentric]
#Column	sigmaV	(I3)	[0/800] Group line-of-sight velocity dispersion (6)	[ucd=phys.veloc.dispersion]
#Column	R2t	(F6.3)	[0.003/1.7] Second turnaround radius of group from luminosity (7)	[ucd=phys.size.radius;pos.lg]
#Column	Rg	(F6.3)	[0.001/8.3]? Projected virial radius of group (8)	[ucd=phys.size.radius]
#Column	logMK	(F6.3)	[6.5/15] log of group mass from luminosity (9)	[ucd=phys.mass]
#Column	logMd	(F6.3)	[2.5/15]? log of group dynamic mass (10)	[ucd=phys.mass]
PGC1	Nm	logK	Dist	sigmaV	R2t	Rg	logMK	logMd
4012568	  1	 8.29	     	  0	 0.076	      	10.652	
  11211	  1	 7.30	 6.03	  0	 0.052	      	10.155	
  71895	  1	 9.13	34.99	  0	 0.106	      	11.072	
  59025	  1	 9.07	     	  0	 0.103	      	11.041	
 135681	  1	 9.06	     	  0	 0.103	      	11.037	
2201393	  1	 9.06	     	  0	 0.103	      	11.037	
  13557	  1	 9.06	     	  0	 0.103	      	11.037	
1784019	  1	 9.06	     	  0	 0.103	      	11.037	
  71479	  1	 9.06	     	  0	 0.103	      	11.037	
 140657	  1	 9.06	     	  0	 0.103	      	11.037	
  34856	  1	 9.06	     	  0	 0.103	      	11.037	
  70404	  1	 9.06	     	  0	 0.103	      	11.037	
  29045	  1	 9.06	     	  0	 0.103	      	11.037	
  30181	  1	 9.06	     	  0	 0.103	      	11.037	
  17113	  1	 8.96	15.70	  0	 0.098	      	10.983	
4362343	  2	 8.63	21.28	 26	 0.087	 0.091	10.820	10.746
  64909	  1	 9.48	19.50	  0	 0.123	      	11.276	
4078787	  1	 9.06	     	  0	 0.103	      	11.033	
  29717	  1	 9.06	     	  0	 0.103	      	11.033	
 970571	  1	 9.06	     	  0	 0.103	      	11.033	
  70486	  1	 9.06	     	  0	 0.103	      	11.033	
1030483	  1	 9.06	     	  0	 0.102	      	11.033	
  60507	  1	 9.05	     	  0	 0.102	      	11.033	
 131595	  1	 9.05	     	  0	 0.102	      	11.033	
 984392	  2	 9.05	     	 22	 0.102	 0.126	11.033	10.726
2376829	  1	 8.71	     	  0	 0.090	      	10.862	
1730240	  1	 8.49	     	  0	 0.082	      	10.747	
1749919	  1	 8.43	     	  0	 0.080	      	10.719	
4017034	  1	 8.08	     	  0	 0.070	      	10.545	
  36713	  1	 9.18	29.51	  0	 0.108	      	11.100	
   2675	  1	 9.05	     	  0	 0.102	      	11.029	
  68115	  1	 9.05	     	  0	 0.102	      	11.029	
  48259	  1	 9.05	     	  0	 0.102	      	11.029	
  35821	  1	 9.05	     	  0	 0.102	      	11.029	
2064997	  1	 9.05	     	  0	 0.102	      	11.029	
  48621	  1	 9.05	     	  0	 0.102	      	11.029	
  57949	  1	 9.05	     	  0	 0.102	      	11.029	
 814799	  1	 9.04	     	  0	 0.102	      	11.029	
 169959	  1	 9.04	     	  0	 0.102	      	11.029	
  20274	  1	 8.69	30.62	  0	 0.089	      	10.850	
    889	  1	 8.55	     	  0	 0.084	      	10.782	
  22900	  1	 8.54	     	  0	 0.084	      	10.776	
    496	  1	 7.90	     	  0	 0.066	      	10.455	
  23769	  1	 7.84	 9.86	  0	 0.064	      	10.425	
    703	  1	 7.50	     	  0	 0.056	      	10.255	
3998794	  1	 9.04	     	  0	 0.102	      	11.025	
  69454	  1	 9.04	     	  0	 0.102	      	11.025	
  24242	  1	 9.04	     	  0	 0.102	      	11.025	
1536138	  1	 9.04	     	  0	 0.102	      	11.025	
  18169	  1	 8.71	30.90	  0	 0.090	      	10.859	
  37189	  1	 8.67	     	  0	 0.088	      	10.841	
  23071	  1	 8.59	13.06	  0	 0.086	      	10.801	
4101020	  1	 8.12	     	  0	 0.071	      	10.565	
   1924	  1	 9.62	15.28	  0	 0.132	      	11.364	
  16736	  1	 9.03	     	  0	 0.102	      	11.021	
  25874	  1	 9.03	     	  0	 0.102	      	11.021	
  23691	  1	 9.03	     	  0	 0.101	      	11.021	
3093553	  1	 9.03	     	  0	 0.101	      	11.021	
1021840	  1	 9.03	     	  0	 0.101	      	11.021	
 289052	  1	 9.03	     	  0	 0.101	      	11.021	
   3710	  1	 9.03	     	  0	 0.101	      	11.021	
  50902	  1	 9.03	     	  0	 0.101	      	11.021	
  73553	  1	 9.03	     	  0	 0.101	      	11.021	
 919880	  1	 9.03	     	  0	 0.101	      	11.021	
  26570	  1	 9.03	     	  0	 0.101	      	11.017	
   9028	  1	 8.84	26.42	  0	 0.094	      	10.926	
  26071	  1	 8.83	22.08	  0	 0.094	      	10.919	
  22726	  1	 9.03	     	  0	 0.101	      	11.017	
1124767	  1	 9.03	     	  0	 0.101	      	11.017	
  38730	  3	 9.02	     	 24	 0.101	 0.061	11.017	10.505
  68904	  1	 9.02	     	  0	 0.101	      	11.017	
  61239	  1	 9.02	     	  0	 0.101	      	11.017	
 890565	  1	 9.02	     	  0	 0.101	      	11.017	
  12188	  1	 9.02	     	  0	 0.101	      	11.017	
5064894	  1	 9.02	     	  0	 0.101	      	11.017	
  70433	  1	 9.31	22.70	  0	 0.114	      	11.170	
  10182	  1	 9.02	     	  0	 0.101	      	11.013	
  86627	  1	 9.02	     	  0	 0.101	      	11.013	
  35443	  1	 9.02	     	  0	 0.101	      	11.013	
  52689	  2	 9.02	     	  0	 0.101	 0.010	11.013	 4.623
3704923	  1	 9.01	     	  0	 0.101	      	11.013	
    809	  1	 9.01	     	  0	 0.101	      	11.013	
   4211	  1	 9.01	     	  0	 0.101	      	11.013	
  97214	  1	 9.01	     	  0	 0.101	      	11.013	
  28396	  1	 9.01	     	  0	 0.101	      	11.009	
  15858	  1	 9.01	     	  0	 0.101	      	11.009	
  66992	  1	 9.01	     	  0	 0.101	      	11.009	
  51424	  1	 9.01	     	  0	 0.101	      	11.009	
  15214	  1	 9.01	     	  0	 0.100	      	11.009	
  17430	  1	 9.01	     	  0	 0.100	      	11.009	
1805856	  1	 9.01	     	  0	 0.100	      	11.009	
  71781	  1	 9.00	     	  0	 0.100	      	11.009	
4614837	  1	 9.00	     	  0	 0.100	      	11.009	
  30560	  1	 8.83	     	  0	 0.094	      	10.918	
   8548	  1	 8.50	     	  0	 0.083	      	10.754	
  90815	  1	 8.38	65.46	  0	 0.079	      	10.696	
   8051	  1	 8.31	     	  0	 0.077	      	10.659	
1481912	  1	 7.56	     	  0	 0.058	      	10.286	
  29296	  1	 9.35	15.42	  0	 0.116	      	11.199	
   2805	  1	 9.11	16.98	  0	 0.105	      	11.061	
1317169	  1	 9.00	     	  0	 0.100	      	11.004	
  53512	  2	 9.00	     	  2	 0.100	 0.048	11.004	 8.009
3080241	  1	 9.00	     	  0	 0.100	      	11.004	
  26113	  1	 9.00	     	  0	 0.100	      	11.004	
   6827	  1	 9.00	     	  0	 0.100	      	11.004	
  53211	  1	 9.00	     	  0	 0.100	      	11.004	
  12828	  1	 9.00	     	  0	 0.100	      	11.004	
  53574	  1	 9.00	     	  0	 0.100	      	11.004	
  73013	  1	 9.00	     	  0	 0.100	      	11.004	
 728777	  1	 9.00	     	  0	 0.100	      	11.004	
4445977	  1	 9.00	     	  0	 0.100	      	11.004	
  37407	  1	 8.99	     	  0	 0.100	      	11.004	
 101513	  1	 8.99	     	  0	 0.100	      	11.004	
   6898	  1	 8.66	33.57	  0	 0.088	      	10.835	
3227769	  1	 8.44	     	  0	 0.081	      	10.727	
3227846	  1	 8.35	     	  0	 0.078	      	10.678	
  51523	  1	 9.28	15.56	  0	 0.113	      	11.158	
   5276	  1	 8.99	     	  0	 0.100	      	11.004	
   2754	  1	 8.99	     	  0	 0.100	      	11.000	
   2235	  1	 8.99	     	  0	 0.100	      	11.000	
1179805	  1	 8.99	     	  0	 0.100	      	11.000	
3672930	  2	 9.24	 8.24	  8	 0.111	 0.001	11.134	 7.688
  68382	  1	 8.99	     	  0	 0.100	      	11.000	
  48821	  1	 8.99	     	  0	 0.100	      	10.999	
  26195	  1	 8.99	     	  0	 0.100	      	10.999	
  93843	  1	 8.99	     	  0	 0.100	      	10.998	
2004197	  3	 8.99	     	 18	 0.100	 0.068	10.998	10.328
  71442	  2	 8.99	     	 38	 0.100	 0.133	10.998	11.241
  92270	  1	 8.99	     	  0	 0.100	      	10.998	
2800438	  2	 8.99	     	  7	 0.100	 0.015	10.998	 8.845
  28153	  1	 8.98	     	  0	 0.100	      	10.998	
  70154	  1	 8.98	     	  0	 0.100	      	10.997	
1031379	  1	 8.98	     	  0	 0.100	      	10.997	
 130903	  1	 8.98	     	  0	 0.100	      	10.997	
  62541	  1	 8.98	     	  0	 0.099	      	10.996	
 199449	  1	 8.98	     	  0	 0.099	      	10.995	
4614968	  1	 8.98	     	  0	 0.099	      	10.995	
3386631	  1	 8.48	     	  0	 0.082	      	10.743	
4016222	  1	 8.26	     	  0	 0.076	      	10.637	
 198646	  1	 8.98	     	  0	 0.099	      	10.994	
  60084	  1	 8.98	     	  0	 0.099	      	10.994	
  10571	  1	 8.98	     	  0	 0.099	      	10.993	
5064959	  2	 8.98	     	  8	 0.099	 0.020	10.993	 9.130
  66836	  1	 8.93	11.17	  0	 0.097	      	10.968	
  22369	  1	 8.47	28.71	  0	 0.082	      	10.740	
  86663	  1	 8.97	     	  0	 0.099	      	10.993	
 142062	  1	 8.97	     	  0	 0.099	      	10.993	
2765554	  1	 8.97	     	  0	 0.099	      	10.992	
3177089	  1	 8.97	     	  0	 0.099	      	10.992	
  31697	  1	 8.36	24.55	  0	 0.078	      	10.687	
4000972	  1	 8.42	     	  0	 0.080	      	10.714	
2257202	  1	 8.32	     	  0	 0.077	      	10.663	
  34952	  1	 8.97	     	  0	 0.099	      	10.990	
  48104	  1	 8.97	     	  0	 0.099	      	10.990	
1089367	  1	 8.46	     	  0	 0.081	      	10.734	
1076133	  1	 8.26	     	  0	 0.075	      	10.635	
  41464	  1	 8.97	     	  0	 0.099	      	10.989	
  21251	  1	 8.97	     	  0	 0.099	      	10.989	
  41488	  1	 8.97	     	  0	 0.099	      	10.989	
  14818	  1	 8.96	     	  0	 0.099	      	10.988	
  91689	  1	 8.96	     	  0	 0.099	      	10.988	
  72900	  1	 8.96	     	  0	 0.099	      	10.987	
2406095	  1	 8.96	     	  0	 0.099	      	10.987	
  30282	  1	 8.96	     	  0	 0.099	      	10.987	
2175057	  1	 8.96	     	  0	 0.099	      	10.987	
 198170	  1	 8.96	     	  0	 0.099	      	10.986	
4586739	  1	 8.96	     	  0	 0.099	      	10.986	
  49814	  1	 8.48	     	  0	 0.082	      	10.747	
1767195	  1	 8.21	     	  0	 0.074	      	10.613	
  14464	  1	 8.96	     	  0	 0.099	      	10.985	
2291782	  1	 8.96	     	  0	 0.099	      	10.985	
  20509	  1	 8.96	     	  0	 0.099	      	10.985	
  33829	  1	 8.96	     	  0	 0.099	      	10.985	
  66794	  1	 8.96	     	  0	 0.099	      	10.984	
 213476	  2	 8.96	     	  3	 0.099	 0.027	10.984	 8.389
  30005	  1	 8.96	     	  0	 0.099	      	10.984	
  27897	  2	 8.96	     	 13	 0.099	 0.003	10.983	 8.635
  17100	  1	 8.96	     	  0	 0.099	      	10.983	
1467697	  1	 8.95	     	  0	 0.098	      	10.982	
  72325	  1	 8.88	32.81	  0	 0.096	      	10.943	
  47354	  1	 8.96	     	  0	 0.098	      	10.983	
 446651	  1	 8.95	     	  0	 0.098	      	10.982	
4092595	  1	 8.14	     	  0	 0.072	      	10.574	
3999176	  1	 7.98	     	  0	 0.068	      	10.494	
3999399	  1	 7.86	     	  0	 0.065	      	10.436	
1468320	  1	 8.95	     	  0	 0.098	      	10.981	
 774637	  1	 8.95	     	  0	 0.098	      	10.980	
   2345	  1	 8.95	     	  0	 0.098	      	10.980	
  61243	  1	 8.95	     	  0	 0.098	      	10.979	
2807055	  1	 8.95	     	  0	 0.098	      	10.980	
4003550	  1	 8.95	     	  0	 0.098	      	10.979	
 957158	  1	 8.95	     	  0	 0.098	      	10.979	
  30608	  1	 8.95	     	  0	 0.098	      	10.979	
1783064	  1	 8.95	     	  0	 0.098	      	10.978	
  55944	  1	 8.95	     	  0	 0.098	      	10.979	
  87141	  1	 8.95	     	  0	 0.098	      	10.978	
  11639	  1	 8.95	     	  0	 0.098	      	10.978	
  42288	  1	 8.94	     	  0	 0.098	      	10.978	
1101367	  1	 8.94	     	  0	 0.098	      	10.977	
  19483	  1	 8.94	     	  0	 0.098	      	10.975	
 148081	  1	 8.94	     	  0	 0.098	      	10.975	
 179216	  1	 8.94	     	  0	 0.098	      	10.974	
3271953	  2	 8.94	     	 26	 0.098	 0.002	10.974	 8.966
  15503	  1	 8.94	     	  0	 0.098	      	10.973	
  33788	  1	 8.56	25.00	  0	 0.085	      	10.785	
4117286	  1	 8.49	     	  0	 0.082	      	10.748	
1982466	  1	 8.15	     	  0	 0.072	      	10.580	
1879598	  1	 8.94	     	  0	 0.098	      	10.973	
3461370	  1	 8.93	     	  0	 0.098	      	10.972	
 493186	  1	 8.93	     	  0	 0.098	      	10.972	
 132399	  1	 8.93	     	  0	 0.098	      	10.972	
 926277	  1	 8.93	     	  0	 0.098	      	10.972	
  67076	  1	 9.14	14.19	  0	 0.106	      	11.079	
1312117	  1	 8.43	     	  0	 0.081	      	10.723	
3998393	  1	 8.21	     	  0	 0.074	      	10.611	
1827997	  1	 8.93	     	  0	 0.098	      	10.971	
   1750	  1	 8.62	     	  0	 0.087	      	10.814	
   4647	  1	 8.56	     	  0	 0.085	      	10.786	
 988978	  1	 8.01	     	  0	 0.069	      	10.509	
   1835	  1	 7.89	     	  0	 0.066	      	10.452	
  55975	  1	 8.93	     	  0	 0.098	      	10.970	
4614959	  1	 8.93	     	  0	 0.098	      	10.970	
4010850	  1	 8.93	     	  0	 0.098	      	10.970	
    930	  1	 8.96	 6.64	  0	 0.099	      	10.987	
3356019	  1	 8.93	     	  0	 0.097	      	10.969	
3998949	  1	 8.34	     	  0	 0.078	      	10.673	
3998955	  1	 8.32	     	  0	 0.077	      	10.664	
  71345	  3	 9.63	17.14	 21	 0.133	 0.006	11.371	 9.384
  17445	  1	 8.93	     	  0	 0.097	      	10.969	
  42551	  1	 8.93	     	  0	 0.097	      	10.968	
1813337	  1	 8.93	     	  0	 0.097	      	10.968	
  91800	  1	 8.93	     	  0	 0.097	      	10.968	
   7508	  1	 8.92	     	  0	 0.097	      	10.968	
  28400	  1	 8.92	     	  0	 0.097	      	10.967	
  91386	  1	 8.92	     	  0	 0.097	      	10.967	
  65762	  1	 8.92	     	  0	 0.097	      	10.967	
3097722	  1	 8.92	     	  0	 0.097	      	10.967	
  32041	  1	 8.56	     	  0	 0.084	      	10.783	
  30715	  1	 8.00	     	  0	 0.068	      	10.505	
5065951	  1	 8.92	     	  0	 0.097	      	10.966	
  34170	  2	 8.34	     	  7	 0.078	 0.016	10.677	 8.886
  33837	  1	 8.02	     	  0	 0.069	      	10.516	
  33346	  1	 7.15	     	  0	 0.049	      	10.079	
 134154	  1	 8.92	     	  0	 0.097	      	10.964	
  85332	  1	 8.92	     	  0	 0.097	      	10.964	
  15639	  1	 8.92	     	  0	 0.097	      	10.964	
  84097	  1	 8.92	     	  0	 0.097	      	10.964	
  46253	  1	 8.92	     	  0	 0.097	      	10.963	
 133414	  1	 8.92	     	  0	 0.097	      	10.963	
 280560	  1	 8.92	     	  0	 0.097	      	10.963	
   5792	  1	 9.00	35.16	  0	 0.100	      	11.009	
 216842	  1	 8.91	     	  0	 0.097	      	10.961	
 390870	  1	 8.91	     	  0	 0.097	      	10.960	
  53014	  1	 8.67	     	  0	 0.088	      	10.838	
4117439	  1	 7.69	     	  0	 0.061	      	10.350	
3537201	  1	 8.91	     	  0	 0.097	      	10.960	
 169954	  1	 8.91	     	  0	 0.097	      	10.960	
  67479	  1	 8.91	     	  0	 0.097	      	10.960	
   7900	  1	 8.92	18.54	  0	 0.097	      	10.968	
  38878	  1	 8.33	     	  0	 0.077	      	10.667	
1760270	  1	 8.28	     	  0	 0.076	      	10.647	
  55273	  1	 8.91	     	  0	 0.097	      	10.958	
  20927	  1	 8.91	     	  0	 0.097	      	10.958	
  65003	  1	 9.13	26.79	  0	 0.106	      	11.072	
    965	  1	 8.90	     	  0	 0.097	      	10.957	
  20940	  1	 8.90	     	  0	 0.096	      	10.956	
2597829	  1	 8.90	     	  0	 0.096	      	10.954	
  23156	  1	 8.90	     	  0	 0.096	      	10.954	
 804232	  1	 8.90	     	  0	 0.096	      	10.954	
1292036	  1	 8.90	     	  0	 0.096	      	10.954	
  26959	  1	 8.90	     	  0	 0.096	      	10.954	
  48441	  1	 8.71	34.51	  0	 0.090	      	10.860	
  25679	  1	 8.89	     	  0	 0.096	      	10.952	
2807082	  2	 8.89	     	  5	 0.096	 0.005	10.951	 8.041
4009603	  1	 8.89	     	  0	 0.096	      	10.951	
2800953	  2	 8.89	     	 27	 0.096	 0.022	10.951	10.182
  39219	  1	 8.89	     	  0	 0.096	      	10.951	
 399900	  1	 8.89	     	  0	 0.096	      	10.951	
  28098	  1	 8.72	28.44	  0	 0.090	      	10.865	
  33696	  1	 8.89	     	  0	 0.096	      	10.950	
 259295	  1	 8.89	     	  0	 0.096	      	10.950	
  23301	  1	 8.89	     	  0	 0.096	      	10.951	
  23907	  1	 8.89	     	  0	 0.096	      	10.950	
  47054	  1	 8.89	     	  0	 0.096	      	10.950	
  21844	  1	 8.89	     	  0	 0.096	      	10.950	
4078746	  1	 8.89	     	  0	 0.096	      	10.949	
4001461	  1	 8.89	     	  0	 0.096	      	10.949	
  48084	  1	 8.68	51.52	  0	 0.089	      	10.846	
   1457	  1	 8.89	     	  0	 0.096	      	10.948	
  72977	  1	 8.88	     	  0	 0.096	      	10.947	
4080065	  1	 8.88	     	  0	 0.096	      	10.947	
  46521	  1	 9.07	13.06	  0	 0.103	      	11.041	
4614900	  1	 8.88	     	  0	 0.096	      	10.947	
  34870	  1	 8.40	46.99	  0	 0.080	      	10.707	
  46642	  1	 8.88	     	  0	 0.096	      	10.946	
 862077	  1	 8.88	     	  0	 0.096	      	10.945	
3094120	  1	 8.88	     	  0	 0.096	      	10.945	
   3543	  1	 8.51	40.74	  0	 0.083	      	10.760	
  71973	  1	 8.48	12.13	  0	 0.082	      	10.743	
  32345	  1	 8.88	     	  0	 0.096	      	10.944	
2614780	  1	 8.88	     	  0	 0.096	      	10.943	
  90540	  1	 8.68	38.73	  0	 0.089	      	10.846	
  45966	  1	 8.87	     	  0	 0.095	      	10.942	
  13115	  1	 8.87	     	  0	 0.095	      	10.941	
  96431	  1	 8.87	     	  0	 0.095	      	10.942	
1387750	  1	 8.87	     	  0	 0.095	      	10.941	
  72558	  1	 8.87	     	  0	 0.095	      	10.941	
  52079	  1	 8.87	     	  0	 0.095	      	10.941	
  17652	  1	 8.87	     	  0	 0.095	      	10.941	
 627745	  1	 8.87	     	  0	 0.095	      	10.941	
  22710	  1	 8.87	     	  0	 0.095	      	10.941	
  17567	  1	 8.87	     	  0	 0.095	      	10.940	
  57120	  1	 8.87	     	  0	 0.095	      	10.940	
  64177	  1	 8.87	     	  0	 0.095	      	10.940	
1867833	  1	 8.87	     	  0	 0.095	      	10.939	
2807062	  1	 8.87	     	  0	 0.095	      	10.940	
   2421	  1	 8.87	     	  0	 0.095	      	10.939	
2064608	  1	 8.87	     	  0	 0.095	      	10.939	
  29221	  1	 8.87	     	  0	 0.095	      	10.938	
 975060	  1	 8.87	     	  0	 0.095	      	10.938	
 133419	  1	 8.87	     	  0	 0.095	      	10.938	
 792571	  1	 8.87	     	  0	 0.095	      	10.938	
  64747	  1	 8.86	     	  0	 0.095	      	10.938	
1177602	  1	 8.86	     	  0	 0.095	      	10.938	
  54283	  1	 9.16	17.30	  0	 0.107	      	11.090	
  29070	  1	 8.86	     	  0	 0.095	      	10.937	
 131842	  1	 8.86	     	  0	 0.095	      	10.937	
    924	  2	 9.05	20.32	  7	 0.102	 0.056	11.029	 9.442
  47846	  1	 8.86	     	  0	 0.095	      	10.935	
  33285	  1	 8.86	     	  0	 0.095	      	10.935	
  21398	  1	 8.51	22.59	  0	 0.083	      	10.760	
1560780	  1	 8.86	     	  0	 0.095	      	10.934	
  30985	  1	 8.86	     	  0	 0.095	      	10.934	
 916775	  1	 8.44	     	  0	 0.081	      	10.724	
 903848	  1	 8.02	     	  0	 0.069	      	10.517	
  46852	  1	 8.86	     	  0	 0.095	      	10.933	
  18216	  1	 8.86	     	  0	 0.095	      	10.933	
 620240	  1	 8.85	     	  0	 0.095	      	10.932	
1041550	  1	 8.85	     	  0	 0.095	      	10.931	
 135667	  1	 8.85	     	  0	 0.095	      	10.931	
  71889	  1	 8.57	30.06	  0	 0.085	      	10.790	
  29702	  1	 8.28	     	  0	 0.076	      	10.645	
3999023	  1	 8.22	     	  0	 0.074	      	10.614	
1016288	  1	 8.85	     	  0	 0.095	      	10.930	
 891484	  1	 8.85	     	  0	 0.095	      	10.930	
  35866	  1	 8.85	     	  0	 0.095	      	10.930	
 163084	  1	 8.85	     	  0	 0.095	      	10.929	
  46017	  1	 8.85	     	  0	 0.095	      	10.929	
  37727	  1	 8.85	     	  0	 0.095	      	10.929	
4078637	  1	 8.85	     	  0	 0.094	      	10.929	
4075569	  1	 8.85	     	  0	 0.094	      	10.929	
   8535	  1	 8.85	     	  0	 0.094	      	10.929	
  73813	  1	 8.85	     	  0	 0.094	      	10.929	
 989935	  1	 8.85	     	  0	 0.094	      	10.929	
2365249	  1	 8.84	     	  0	 0.094	      	10.927	
  47847	  1	 8.50	 6.95	  0	 0.083	      	10.757	
   5375	  1	 8.86	20.89	  0	 0.095	      	10.936	
  17057	  1	 8.84	     	  0	 0.094	      	10.927	
3998279	  1	 8.84	     	  0	 0.094	      	10.926	
 106802	  1	 8.84	     	  0	 0.094	      	10.926	
1159096	  1	 8.84	     	  0	 0.094	      	10.926	
  38367	  1	 9.45	 9.73	  0	 0.122	      	11.258	
  24351	  1	 8.38	17.46	  0	 0.079	      	10.697	
  52693	  1	 8.84	     	  0	 0.094	      	10.925	
  72676	  1	 8.84	     	  0	 0.094	      	10.924	
   7819	  1	 9.05	31.33	  0	 0.102	      	11.029	
 166086	  1	 8.84	     	  0	 0.094	      	10.923	
 142582	  1	 8.84	     	  0	 0.094	      	10.923	
  70031	  1	 8.84	     	  0	 0.094	      	10.923	
  55621	  1	 8.84	     	  0	 0.094	      	10.923	
3996586	  1	 8.84	     	  0	 0.094	      	10.923	
3772495	  1	 8.83	     	  0	 0.094	      	10.922	
 955659	  1	 8.83	     	  0	 0.094	      	10.921	
2235292	  1	 8.83	     	  0	 0.094	      	10.921	
  51472	  1	 8.17	 2.82	  0	 0.073	      	10.588	
  48332	  1	 7.75	 3.12	  0	 0.062	      	10.380	
  49158	  1	 7.62	 3.28	  0	 0.059	      	10.312	
  49452	  1	 7.58	 3.19	  0	 0.058	      	10.292	
1774264	  1	 8.83	     	  0	 0.094	      	10.921	
4215191	  1	 8.83	     	  0	 0.094	      	10.919	
2289184	  1	 8.83	     	  0	 0.094	      	10.919	
  14768	  1	 8.77	26.55	  0	 0.092	      	10.888	
1526287	  1	 8.83	     	  0	 0.094	      	10.919	
  28738	  1	 8.83	     	  0	 0.094	      	10.918	
1697033	  1	 8.82	     	  0	 0.094	      	10.917	
  49312	  1	 8.82	     	  0	 0.094	      	10.917	
  29746	  1	 8.82	     	  0	 0.094	      	10.917	
  43886	  1	 8.82	     	  0	 0.094	      	10.916	
5064840	  1	 8.82	     	  0	 0.094	      	10.916	
1729964	  1	 8.82	     	  0	 0.094	      	10.916	
  56796	  1	 8.82	     	  0	 0.094	      	10.915	
2290298	  1	 8.82	     	  0	 0.094	      	10.915	
1984626	  1	 8.82	     	  0	 0.093	      	10.915	
1225419	  1	 8.82	     	  0	 0.093	      	10.915	
  18143	  1	 8.82	     	  0	 0.093	      	10.915	
3994655	  1	 8.82	     	  0	 0.093	      	10.914	
2180927	  1	 8.82	     	  0	 0.093	      	10.914	
2807152	  1	 8.82	     	  0	 0.093	      	10.914	
  26108	  1	 8.82	     	  0	 0.093	      	10.914	
 743901	  1	 8.82	     	  0	 0.093	      	10.913	
   6190	  1	 8.80	29.92	  0	 0.093	      	10.906	
2179608	  1	 8.82	     	  0	 0.093	      	10.913	
  27973	  1	 8.82	     	  0	 0.093	      	10.913	
 134360	  1	 8.81	     	  0	 0.093	      	10.912	
5065956	  2	 8.81	     	 10	 0.093	 0.161	10.912	10.167
 169678	  1	 8.81	     	  0	 0.093	      	10.912	
5060528	  1	 8.81	     	  0	 0.093	      	10.912	
1080418	  1	 8.81	     	  0	 0.093	      	10.912	
1216952	  1	 8.81	     	  0	 0.093	      	10.911	
  34094	  1	 8.81	     	  0	 0.093	      	10.911	
1965962	  1	 8.81	     	  0	 0.093	      	10.911	
 238395	  1	 8.81	     	  0	 0.093	      	10.911	
  21049	  1	 8.18	27.93	  0	 0.073	      	10.593	
  48792	  1	 8.81	     	  0	 0.093	      	10.911	
2126744	  1	 8.81	     	  0	 0.093	      	10.911	
  11426	  1	 8.81	     	  0	 0.093	      	10.910	
 628517	  1	 8.81	     	  0	 0.093	      	10.910	
2275958	  1	 8.81	     	  0	 0.093	      	10.910	
  24963	  1	 8.81	     	  0	 0.093	      	10.910	
   9962	  1	 8.59	 5.60	  0	 0.085	      	10.798	
 153403	  1	 8.81	     	  0	 0.093	      	10.909	
  51655	  2	 8.81	     	 20	 0.093	 0.041	10.908	10.176
3198270	  1	 8.81	     	  0	 0.093	      	10.908	
 772534	  1	 8.81	     	  0	 0.093	      	10.908	
3570309	  1	 8.81	     	  0	 0.093	      	10.908	
3481341	  1	 8.80	     	  0	 0.093	      	10.907	
1103998	  1	 8.80	     	  0	 0.093	      	10.907	
