#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T06:11:19 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T06:11:19	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/AJ/145/101/catalog&-out=Name,_RA,_DE,Kmag,W50,TT,HRV,Dist,f_Dist,i,vAmp,KLum,MHI,Vlg,Ti1,MD,Ti5&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51450101
#Name: J/AJ/145/101
#Title: Updated nearby galaxy catalog (Karachentsev+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/aj/145/101	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/145/101	    IVOID of underlying data collection
#INFO	creator=Karachentsev I.D.	    First author or institution
#INFO	cites=bibcode:2013AJ....145..101K	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/145/101	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51450101	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-12	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_145_101_catalog:
#Name: J/AJ/145/101/catalog
#Title: Catalog of galaxies in the  the Local Volume
#Column	Name	(a18)	Galaxy name in well-known catalogs	[ucd=meta.id;meta.main]
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Kmag	(F5.2)	[-1.75/17.54]? 2MASS Ks band magnitude (6)	[ucd=phot.mag;em.IR.K]
#Column	W50	(I3)	? HI line width at 50% level from maximum (9)	[ucd=spect.line.width;em.line.HI]
#Column	TT	(I2)	[-3/11]? Morphology T-type code (10)	[ucd=src.morph]
#Column	HRV	(I4)	[-556/2219]? Heliocentric radial velocity (12)	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Dist	(F5.2)	[0.01/26.2] Distance to galaxy	[ucd=pos.distance;pos.heliocentric]
#Column	f_Dist	(A4)	Method used to obtain Dist (G1)	[ucd=meta.code]
#Column	i	(I2)	[0/90]? Inclination of galaxy from the face-on (i=0) position	[ucd=src]
#Column	vAmp	(I3)	? Amplitude of rotational velocity (14)	[ucd=phys.veloc.rotat]
#Column	KLum	(F5.2)	[3.19/11.3]? log(luminosity) in Ks band (18)	[ucd=phys.luminosity;em.IR.K]
#Column	MHI	(F5.2)	[1.12/10.19]? log(Hydrogen mass) (20)	[ucd=arith.zp]
#Column	Vlg	(I4)	[-303/2094]? Local group radial velocity (21)	[ucd=phys.veloc;pos.lg]
#Column	Ti1	(F4.1)	[-3/6.5]? Tidal index {Theta}_1_ (22)	[ucd=src.class.struct]
#Column	MD	(a15)	Main disturber name (23)	[ucd=meta.id.assoc]
#Column	Ti5	(F4.1)	[-2.5/6.5]? Tidal index {Theta}_5_ (24)	[ucd=src.class.struct]
Name	_RAJ2000	_DEJ2000	Kmag	W50	TT	HRV	Dist	f_Dist	i	vAmp	KLum	MHI	Vlg	Ti1	MD	Ti5
HIPASS J1133-32   	173.295833	-32.961944	13.68	 59	10	 709	 6.70	mem 	72	 26	 7.50	 7.00	 424	 0.7	NGC3621        	 0.7
UGC06541          	173.371250	+49.238056	11.85	 26	10	 249	 3.89	TRGB	65	  5	 7.75	 6.97	 303	-0.6	MESSIER081     	-0.2
NGC3738           	173.952500	+54.522778	 9.61	 78	 9	 225	 4.90	TRGB	49	 45	 8.85	 8.00	 306	-0.8	MESSIER081     	-0.4
NGC3741           	174.026667	+45.285278	12.26	 83	 9	 229	 3.03	TRGB	67	 40	 7.38	 7.88	 263	-0.7	MESSIER081     	-0.4
ESO320-014        	174.472500	-39.220556	12.90	 40	10	 654	 6.08	TRGB	58	 18	 7.74	 7.33	 362	-0.7	NGC3621        	-0.5
UGC06757          	176.746250	+61.335000	13.82	   	10	  82	 2.73	h   	67	   	 6.66	     	 199	-0.3	MESSIER081     	 0.0
KK109             	176.796667	+43.671944	15.68	 18	10	 211	 4.51	TRGB	55	  3	 6.35	 6.54	 240	-0.3	NGC4736        	 0.0
DDO097            	177.238333	+23.837778	12.65	 86	10	 522	13.74	BS  	27	 82	 8.53	 8.42	 450	-1.3	NGC4251        	-0.7
KKH73             	177.526667	+55.783333	14.91	 20	10	 594	 9.00	txt 	22	  7	 7.26	 6.98	 685	-0.5	NGC3556        	-0.1
DDO099            	177.720833	+38.880556	11.86	 34	10	 251	 2.64	TRGB	90	 11	 7.42	 7.74	 257	-0.8	NGC4214        	-0.4
ESO379-007        	178.679167	-33.558056	13.60	 28	10	 644	 5.22	TRGB	49	 10	 7.32	 7.51	 367	-1.0	NGC5236        	-0.5
UGC06881          	178.686250	+20.055556	13.41	 90	10	 601	16.40	TF  	90	 39	 8.38	 8.27	 513	-0.3	NGC4032        	-0.1
MCG +05-28-046    	178.847917	+28.340000	13.89	   	 9	 590	 7.45	h   	81	   	 7.50	     	 544	-0.9	NGC4631        	-0.5
KDG082            	178.914167	+31.519444	12.09	100	 8	 590	16.60	TF  	51	 56	 8.92	 8.08	 560	-1.1	NGC4565        	-0.6
NGC3990           	179.398333	+55.458611	 9.55	   	-1	 696	10.30	SBF 	65	   	 9.52	     	 788	-0.7	NGC3556        	-0.4
LV J1157+5638     	179.475833	+56.638056	14.68	   	10	 416	 7.03	h   	40	   	 7.14	     	 514	-0.6	NGC4258        	-0.3
LV J1158+1535     	179.668333	+15.592778	15.63	   	10	 565	 6.27	h   	38	   	 6.66	 6.97	 458	-1.6	NGC4826        	-1.0
BTS76             	179.683750	+27.585000	14.06	   	10	 455	 5.57	h   	62	   	 7.18	     	 407	-1.1	NGC4736        	-0.6
ESO572-034        	179.742083	-19.030000	11.50	 67	 9	1114	 8.50	TF  	71	 31	 8.58	 8.12	 871	-0.6	NGC4594        	-0.5
KUG 1157+315      	180.067500	+31.225000	12.88	117	 8	 617	23.20	TF  	62	 57	 8.90	 8.48	 588	-2.1	NGC4321        	-1.6
LV J1203+4739     	180.750000	+47.654167	14.78	   	10	 492	 7.49	h   	78	   	 7.15	     	 547	 0.9	NGC4258        	 0.9
LV J1203+3257     	180.795417	+32.956111	14.02	   	 8	 570	 7.55	h   	69	   	 7.46	     	 551	-0.6	NGC4631        	-0.2
NGC4068           	181.010000	+52.588611	10.76	 54	 9	 210	 4.31	TRGB	69	 24	 8.28	 8.06	 290	-0.5	NGC4736        	-0.1
NGC4080           	181.215833	+26.992500	10.79	147	 8	 565	15.00	TF  	65	 71	 9.36	 8.24	 517	-0.5	NGC4251        	-0.1
ESO379-024        	181.236250	-35.743056	13.93	 39	10	 632	 4.88	h   	47	 20	 7.13	 7.28	 356	-0.7	NGC5128        	-0.3
IC2992            	181.316250	+30.855556	12.44	 46	 9	 599	12.70	TF  	38	 30	 8.55	 7.73	 570	 0.1	NGC4274        	 0.3
KUG 1202+286      	181.347083	+28.365556	13.16	   	 8	 529	 6.69	h   	56	   	 7.70	     	 488	 0.1	LV J1205+2813  	 0.2
LV J1205+2813     	181.392500	+28.232222	14.02	   	 8	 534	 6.74	h   	38	   	 7.37	     	 492	 0.5	KUG 1202+286   	 0.5
MAPS1206+31       	181.643750	+31.342500	13.12	   	 8	 568	 7.43	h   	22	   	 7.81	     	 542	-0.4	LV J1207+3133  	 0.0
LV J1207+3133     	181.958333	+31.552222	14.82	   	 8	 562	 7.37	h   	35	   	 7.12	     	 538	 0.2	MAPS1206+31    	 0.4
UGC07131          	182.299167	+30.906667	13.95	117	 8	 253	16.80	TF  	75	 53	 8.19	 8.59	 226	-0.7	NGC4565        	-0.3
NGC4136           	182.323750	+29.927500	 9.31	 92	 5	 608	 7.90	h   	24	100	 9.39	 8.67	 577	-0.6	NGC4631        	-0.2
MCG +06-27-017    	182.485000	+36.435278	12.00	   	 9	 339	 4.83	TRGB	90	   	 7.88	     	 341	 0.0	NGC4736        	 0.3
NGC4144           	182.497083	+46.457222	 9.39	153	 7	 265	 7.24	TRGB	82	 67	 9.29	 8.76	 317	 0.6	NGC4258        	 0.7
IC3023            	182.507083	+14.366944	12.85	 44	10	 817	 7.70	TF  	51	 23	 7.95	 7.57	 710	-1.3	NGC3623        	-0.8
NGC4150           	182.640000	+30.401667	 8.99	   	-1	 226	13.74	SBF 	53	   	10.00	     	 197	 0.0	NGC4314        	 0.3
NGC4163           	183.037083	+36.169444	10.88	 32	 9	 162	 2.94	TRGB	37	 17	 7.90	 7.16	 163	 2.3	NGC4214        	 2.3
KK127             	183.344583	+29.921667	13.99	 64	 8	 131	17.30	TF  	70	 29	 8.19	 8.34	 101	-0.6	NGC4565        	-0.2
NGC4190           	183.435833	+36.633333	10.79	 49	 9	 235	 2.82	TRGB	32	 39	 7.90	 7.46	 239	 0.8	NGC4214        	 0.9
LV J1213+2957     	183.451667	+29.958889	14.98	   	10	 225	 2.68	h   	51	   	 6.18	     	 196	-0.8	NGC4214        	-0.5
ESO321-014        	183.456667	-38.231389	12.70	 19	10	 609	 3.18	TRGB	83	  3	 7.25	 7.21	 333	-0.1	NGC5128        	 0.2
UGC07242          	183.530833	+66.092222	12.18	 66	10	  66	 5.42	TRGB	87	 29	 7.91	 7.68	 211	-0.4	NGC4605        	-0.2
VCC0114           	183.646667	 +5.677222	13.75	 34	10	2067	 8.20	TF  	70	 12	 7.64	 7.53	1923	-1.1	NGC4594        	-0.6
KDG090            	183.741250	+36.218889	13.43	   	10	    	 2.86	TRGB	33	   	 6.86	 5.56	    	 1.3	NGC4214        	 1.5
UGC7257           	183.762500	+35.958611	12.25	 89	 8	 956	 8.80	TF  	52	 49	 8.30	 8.32	 957	-0.8	NGC4414        	-0.3
NGC4204           	183.810000	+20.658611	10.00	 88	 7	 861	 8.00	txt 	36	 64	 9.12	 8.57	 787	-1.1	NGC4559        	-0.6
UGC07267          	183.848333	+51.350000	11.94	117	 8	 473	12.90	TF  	73	 53	 8.77	 8.58	 551	 0.5	NGC4102        	 0.6
UGC07271          	183.889167	+43.434167	13.16	105	 7	 546	18.60	TF  	72	 48	 8.59	 8.69	 585	-1.9	NGC3953        	-1.3
NGC4214           	183.912083	+36.327500	 8.14	 61	 8	 291	 2.94	TRGB	39	 41	 9.00	 8.48	 295	 1.2	NGC4163        	 1.2
MCG +09-20-131    	183.944583	+52.387500	12.86	 27	10	 159	 4.59	TRGB	90	  6	 7.50	 7.37	 242	-0.4	NGC4736        	-0.1
VCC0169           	183.984167	 +9.649167	14.25	 24	10	2219	 9.40	TF  	54	  3	 7.56	 8.04	2094	-0.3	PGC039264      	 0.2
IC3077            	183.984583	+14.433056	12.69	 51	 9	1406	 9.10	TF  	58	 25	 8.16	 6.97	1303	-0.3	NGC4435        	-0.1
UGC07298          	184.119167	+52.227222	13.29	 21	10	 174	 4.21	TRGB	67	  3	 7.25	 7.28	 256	-0.4	NGC4068        	 0.1
NGC4236           	184.180417	+69.465556	 7.50	154	 8	  -3	 4.45	TRGB	73	 70	 9.62	 9.15	 157	-0.3	MESSIER081     	-0.1
LV J1217+4703     	184.292083	+47.063611	16.09	   	10	    	 7.80	mem 	46	   	 6.66	 6.44	    	 3.6	NGC4258        	 3.6
UGC07320          	184.368750	+44.811389	13.00	 55	10	 541	 9.20	TF  	81	 24	 8.04	 7.54	 587	-0.4	NGC4460        	 0.1
NGC4244           	184.374583	+37.807500	 7.72	170	 6	 247	 4.49	TRGB	90	 74	 9.55	 9.23	 259	 0.3	NGC4736        	 0.5
NGC4242           	184.375833	+45.619444	 9.12	108	 7	 517	 7.90	TF  	41	 71	 9.47	 8.70	 568	 1.8	NGC4258        	 1.8
LV J1217+3231     	184.383333	+32.532500	15.80	   	 9	 447	 5.93	h   	60	   	 6.54	     	 433	-1.0	NGC4736        	-0.4
UGC7321           	184.391667	+22.540278	10.67	219	 7	 403	17.20	TF  	90	 98	 9.56	 9.33	 339	-0.4	NGC4565        	 0.0
KKH78             	184.435417	+33.345278	15.30	   	10	    	 4.70	mem 	59	   	 6.54	     	    	 0.8	NGC4395        	 0.9
NGC4248           	184.457917	+47.409167	10.59	 66	 8	 484	 7.40	TF  	66	 31	 8.82	 7.79	 544	 1.1	NGC4258        	 1.1
LV J1218+4655     	184.546250	+46.916944	14.16	   	 8	 420	 6.54	h   	76	   	 7.28	     	 477	-0.4	NGC4258        	-0.1
AGC229053         	184.564583	+25.568333	15.44	 40	10	 425	17.90	TF  	75	 16	 7.65	 7.76	 376	 0.1	NGC4494        	 0.3
KDG098            	184.622500	+28.645833	12.31	   	-1	    	 9.00	txt 	24	   	 8.30	     	    	-0.3	NGC4414        	-0.1
IC3104            	184.692083	-79.726111	 9.26	 40	 9	 429	 2.27	TRGB	76	 16	 8.38	 6.90	 170	-1.2	NGC5128        	-0.6
NGC4258           	184.739583	+47.303889	 5.46	421	 4	 447	 7.83	Cep 	71	209	10.94	 9.64	 506	 1.1	KK134          	 1.3
KK132             	184.777083	+47.730833	14.34	   	-1	    	 7.80	mem 	37	   	 7.36	     	    	 3.5	NGC4258        	 3.5
KDG101            	184.787917	+47.089722	13.33	   	10	 132	 7.24	TRGB	63	   	 7.70	     	 190	 0.7	NGC4258        	 1.0
KK133             	184.886667	+43.386389	15.30	 51	10	 561	 8.23	h   	54	 26	 7.03	 6.88	 601	 0.5	NGC4258        	 0.6
KK134             	184.890833	+47.451667	12.84	   	-3	    	 7.80	mem 	24	   	 7.96	     	    	 4.1	NGC4258        	 4.1
d1219+4705        	184.903333	+47.092500	14.40	   	-3	    	 7.80	mem 	22	   	 7.34	     	    	 4.0	NGC4258        	 4.0
IC 779            	184.911250	+29.883333	11.79	   	-1	 213	16.67	SBF 	34	   	 9.04	     	 187	-0.2	NGC4565        	 0.1
VCC0381           	184.975417	 +6.665833	14.31	 23	10	 480	 4.71	h   	26	  6	 6.93	 7.14	 344	-0.9	NGC4826        	-0.7
[KKH2011]S11      	185.125417	+47.490278	16.33	   	-3	    	 7.80	mem 	31	   	 6.57	     	    	 3.7	NGC4258        	 3.8
NGC4288           	185.158750	+46.291667	11.30	154	 7	 533	 8.05	h   	45	 94	 8.61	 8.61	 588	 1.7	NGC4258        	 1.8
KK136             	185.169167	+47.000833	13.33	   	-3	    	 7.80	mem 	36	   	 7.77	     	    	 3.5	NGC4258        	 3.5
CVnHI             	185.180833	+46.209167	     	 20	11	 420	 6.50	h   	  	   	     	 6.44	 475	-0.4	NGC4258        	-0.1
KUG 1218+387      	185.228750	+38.430278	12.98	 30	 9	 570	 8.03	h   	51	 11	 7.93	 7.73	 587	-0.3	NGC4258        	 0.0
d1220+4649        	185.229167	+46.829167	15.23	   	-3	    	 7.80	mem 	41	   	 7.01	     	    	 3.2	NGC4258        	 3.2
DDO120            	185.312500	+45.811389	10.77	 37	 9	 463	 7.06	h   	60	 16	 8.70	 8.01	 516	 0.3	NGC4258        	 0.5
KDG104            	185.366250	+15.024444	14.40	 24	10	1861	 9.40	TF  	55	  3	 7.50	 7.06	1764	 0.3	NGC4435        	 0.3
KDG105            	185.429167	+37.987222	14.28	 40	10	 567	 7.60	TF  	63	 17	 7.37	 7.35	 582	-0.3	NGC4258        	 0.1
UGC7427           	185.479167	+35.051389	13.50	 32	10	 726	 9.70	TF  	61	 12	 7.89	 7.76	 727	 0.1	NGC4414        	 0.2
NGC4308           	185.487083	+30.074167	10.62	   	-1	 642	14.00	txt 	20	   	 9.36	     	 617	 0.2	NGC4251        	 0.6
KK138             	185.493333	+28.242778	16.27	   	10	    	 6.30	mem 	64	   	 6.41	 6.25	    	-0.8	NGC4631        	-0.5
GR34              	185.531667	+15.799167	13.50	 25	10	1298	 8.90	TF  	39	  5	 7.81	 6.93	1205	-0.5	NGC4435        	-0.3
VCC0565           	185.660417	 +6.014444	13.42	 28	10	 871	 9.60	TF  	62	  8	 7.91	 7.06	 734	-0.3	PGC039878      	 0.2
KK141             	185.719583	+33.828611	14.20	 26	10	 573	 7.78	h   	45	  8	 7.41	 7.20	 568	 0.0	NGC4631        	 0.2
IC3247            	185.808333	+28.893889	12.12	157	 7	 569	24.40	TF  	86	 69	 9.26	 8.52	 539	-2.1	NGC4321        	-1.6
BTS132            	185.942500	+47.658889	14.23	   	-3	    	 7.80	mem 	60	   	 7.41	     	    	 2.7	NGC4258        	 2.7
IC3308            	186.324583	+26.714722	12.51	125	 8	 316	12.80	TF  	77	 56	 8.53	 8.57	 277	 0.1	NGC4274        	 0.3
KK144             	186.366250	+28.482500	14.07	 38	10	 480	 6.15	h   	81	 14	 7.27	 7.86	 449	-0.9	NGC4631        	-0.5
UGC07512          	186.422083	 +2.158889	12.78	 65	10	1506	10.60	TF  	70	 30	 8.25	 8.26	1354	 0.4	NGC4457        	 0.7
AGC749236         	186.426667	+26.810000	14.86	 53	10	 273	19.50	TF  	71	 24	 7.95	 8.30	 235	-0.8	NGC4494        	-0.5
VCC0841           	186.445833	+14.951944	13.04	 39	 9	 499	 7.90	TF  	74	 15	 7.90	 7.01	 404	-1.4	NGC4435        	-0.8
NGC4395           	186.457500	+33.546111	 8.00	 98	 8	 313	 4.61	TRGB	34	 76	 9.44	 9.05	 308	 0.1	NGC4736        	 0.3
DDO123            	186.533750	+58.322500	11.85	 58	 8	 722	10.50	TF  	38	 40	 8.62	 8.88	 836	-1.3	NGC3990        	-0.7
UGCA281           	186.566667	+48.491944	12.51	 47	10	 279	 5.68	TRGB	47	 26	 7.82	 7.76	 347	-0.6	NGC4490        	-0.2
IC3341            	186.597500	+27.745556	13.98	 65	 9	 372	14.00	TF  	66	 31	 8.02	 7.92	 338	 0.3	NGC4251        	 0.5
SBS 1224+533      	186.719167	+53.105278	13.68	   	 9	 300	 5.35	h   	53	   	 7.30	     	 390	-0.7	NGC4736        	-0.3
ComaI             	186.745833	+23.904167	10.81	   	-3	  98	 0.04	HB  	66	   	 4.24	 1.63	  46	 3.7	Milky Way      	 3.7
DDO126            	186.771250	+37.142500	11.53	 50	10	 217	 4.88	TRGB	59	 24	 8.08	 8.02	 230	 0.4	NGC4736        	 0.6
DDO125            	186.924167	+43.493889	10.23	 27	 9	 206	 2.74	TRGB	66	  7	 8.10	 7.48	 251	-0.8	NGC4214        	-0.4
UGC07584          	187.012083	+22.589444	13.75	 35	 9	 603	 9.20	TF  	72	 13	 7.74	 7.78	 545	-1.0	NGC4414        	-0.5
KKH80             	187.022500	+22.290833	14.37	 16	10	 602	 7.43	h   	53	  3	 7.31	 7.08	 542	-0.9	NGC4631        	-0.5
NGC4449           	187.046667	+44.094444	 7.25	 98	 8	 201	 4.21	TRGB	45	 60	 9.66	 8.64	 249	 0.3	NGC4736        	 0.4
DDO127            	187.118750	+37.233333	12.57	 54	10	 275	 6.89	BS  	72	 24	 7.96	 8.00	 290	-0.3	NGC4631        	 0.0
UGC07596          	187.141250	 +8.639722	12.47	 27	10	 565	 4.60	TF  	83	  6	 7.65	 6.26	 443	-0.7	NGC4826        	-0.6
UGC07605          	187.162500	+35.718056	12.40	 26	10	 310	 4.43	TRGB	49	  6	 7.65	 7.32	 317	 0.4	NGC4244        	 0.8
NGC4455           	187.183750	+22.822500	10.55	108	 7	 644	 8.40	TF  	76	 48	 8.95	 8.62	 588	-0.6	NGC4559        	-0.4
DDO129            	187.184167	+43.224167	11.01	 43	 8	 538	 8.90	TF  	27	 37	 8.81	 8.59	 582	-0.3	NGC4258        	 0.2
LV J1228+4358     	187.187083	+43.971667	11.77	   	10	    	 4.07	TRGB	90	   	 7.83	     	    	 1.3	NGC4449        	 1.3
NGC4460           	187.190833	+44.864444	 9.06	 90	 1	 499	 9.59	SBF 	90	 39	 9.66	 8.08	 551	-0.6	NGC5055        	-0.1
KK149             	187.217917	+42.177778	12.56	 54	10	 407	 8.90	TF  	59	 26	 8.19	 7.77	 445	 0.2	DDO129         	 0.4
UGC07639          	187.470833	+47.530000	11.73	 39	 9	 385	 7.14	SBF 	68	 16	 8.33	 7.62	 450	 0.4	NGC4258        	 0.5
UGC07636          	187.504167	 +7.929444	12.47	 25	10	 469	 5.20	TF  	40	  5	 7.76	 6.17	 344	-1.0	NGC4826        	-0.8
KK151             	187.599167	+42.901389	13.38	 34	 9	 436	 6.56	h   	87	 12	 7.60	 7.30	 479	-0.5	NGC4258        	-0.1
NGC4485           	187.630000	+41.700000	10.58	139	 8	 480	 5.80	mem 	46	 84	 8.61	 8.57	 517	 5.6	NGC4490        	 5.6
NGC4490           	187.651667	+41.643611	 7.35	173	 7	 586	 5.80	TF  	62	 86	 9.91	 9.22	 623	 4.3	NGC4485        	 4.3
CGCG 014-054      	187.765833	 +1.675833	13.18	 44	 9	1105	 9.60	TF  	64	 20	 8.01	 7.70	 954	 1.0	NGC4517        	 1.1
MAPS1231+42       	187.787500	+42.094167	15.38	 16	10	 563	 5.80	mem 	54	  3	 6.69	 6.22	 602	 2.9	NGC4490        	 3.0
DDO131            	187.994167	+29.709722	12.86	 63	10	 643	 8.10	mem 	46	 38	 7.99	 8.06	 622	 0.8	NGC4559        	 0.9
UGC7678           	188.001667	+39.831944	12.48	 39	 9	 679	 6.90	TF  	70	 16	 8.00	 7.76	 708	-0.4	NGC4258        	-0.1
UGC07690          	188.112083	+42.704167	11.40	 71	 8	 536	11.20	TF  	38	 50	 8.86	 8.64	 578	-0.5	NGC4111        	-0.1
NGC4517           	188.189583	 +0.115000	 7.33	307	 7	1134	 9.70	TF  	90	141	10.40	 9.35	 978	-0.5	NGC4457        	 0.1
UGC07699          	188.200000	+37.621667	11.15	171	 7	 495	14.50	TF  	77	 77	 9.19	 9.03	 514	-0.4	NGC4369        	 0.0
DDO133            	188.220833	+31.539167	11.12	 45	10	 330	 4.85	TRGB	53	 23	 8.24	 8.20	 319	 0.0	NGC4395        	 0.4
NGC4509           	188.278333	+32.091667	11.50	 49	 9	 934	10.10	TF  	46	 28	 8.72	 7.98	 925	 0.5	NGC4414        	 0.6
BTS142            	188.280833	+38.116111	16.04	 23	10	 719	10.00	txt 	13	 11	 6.90	 7.15	 740	-0.8	NGC4414        	-0.3
KDG155            	188.283333	 -0.533056	13.96	 43	10	 750	 8.11	h   	48	 23	 7.55	 7.65	 592	-0.6	NGC4594        	-0.4
KK152             	188.353750	+33.351389	13.88	 34	10	 838	 6.90	TF  	83	 12	 7.44	 7.54	 836	 0.3	NGC4631        	 0.4
UGC7719           	188.502500	+39.019444	12.59	 57	 8	 679	 9.20	TF  	75	 25	 8.21	 8.22	 704	-0.4	NGC5055        	 0.0
NGC4534           	188.522917	+35.518333	11.21	110	 8	 802	 9.80	TF  	49	 63	 8.82	 9.00	 811	-0.1	NGC4414        	 0.0
UGC7751           	188.799167	+41.060833	14.05	 41	 9	 605	 7.90	TF  	90	 16	 7.49	 7.58	 641	 1.0	NGC4618        	 1.2
LV J1235-1104     	188.914167	-11.067222	13.18	 55	10	1110	10.00	TF  	29	 48	 8.04	 7.44	1003	 0.8	NGC4594        	 0.8
NGC4559           	188.990417	+27.959722	 7.58	237	 6	 814	 8.10	TF  	68	115	10.11	 9.44	 787	-0.4	NGC4631        	-0.2
UGC07774          	189.093750	+40.005278	11.11	183	 7	 528	22.60	TF  	89	 80	 9.60	 9.36	 559	-2.3	NGC4565        	-1.8
VCC1675           	189.145833	 +8.054722	12.10	 33	 9	1790	 7.50	TF  	61	 12	 8.22	 6.77	1670	-1.3	NGC4594        	-0.8
IC3583            	189.181250	+13.259444	11.20	105	 9	1120	 7.60	TF  	70	 48	 8.60	 7.83	1024	-1.5	NGC4594        	-0.9
MAPS1236+33       	189.205833	+33.613333	14.49	 30	10	 526	11.70	TF  	83	  8	 7.66	 7.47	 527	-0.7	NGC4274        	-0.3
IC3591            	189.262500	 +6.926667	11.60	 86	 9	1632	 9.80	TF  	62	 42	 8.66	 8.24	1507	-0.4	NGC4417        	 0.3
KKSG29            	189.308750	-10.497500	14.08	 30	10	 756	 7.70	TF  	83	  9	 7.46	 7.01	 562	-0.3	NGC4594        	-0.2
Arp211            	189.338750	+38.745278	13.32	 27	10	 458	 6.61	TRGB	65	  7	 7.63	 7.36	 484	-0.6	NGC4631        	-0.1
VCC1713           	189.371250	 +4.751389	13.42	 26	 9	1638	 7.20	TF  	63	  5	 7.66	 7.08	1504	-0.1	NGC4600        	-0.1
KKSG30            	189.399583	 -8.867222	13.82	 36	10	1105	 9.10	TF  	72	 14	 7.71	 7.29	 917	 1.2	NGC4594        	 1.2
VCC1725           	189.421667	 +8.559167	11.74	 76	 9	1076	 8.50	TF  	68	 36	 8.48	 7.60	 959	-1.1	NGC4435        	-0.5
KKSG31            	189.640417	-10.490278	13.48	   	-3	    	 9.30	mem 	34	   	 7.86	 6.99	    	 2.5	NGC4594        	 2.5
UGCA292           	189.666667	+32.766667	14.24	 27	10	 308	 3.61	TRGB	52	  8	 6.73	 7.44	 306	-0.6	NGC4736        	-0.2
UGC07827          	189.912083	+44.820833	13.54	 44	10	 553	 8.50	TF  	64	 20	 7.76	 8.09	 609	 0.1	NGC4258        	 0.4
KKSG32            	189.979167	-11.746667	14.21	   	-3	    	 9.30	mem 	41	   	 7.57	 6.99	    	 5.4	NGC4594        	 5.4
KDG177            	189.993750	+13.781389	13.88	 30	10	1005	 8.20	TF  	71	  9	 7.59	 7.69	 913	-1.2	NGC4435        	-0.7
NGC4594           	189.996250	-11.623056	 4.96	736	 1	1090	 9.30	SBF 	66	389	11.30	 8.36	 894	 2.5	SUCD1          	 2.6
NGC4605           	190.001250	+61.608056	 7.76	132	 8	 151	 5.47	TRGB	70	 61	 9.69	 8.43	 284	-1.1	MESSIER081     	-0.6
AGC749241         	190.007083	+26.321944	15.90	 18	10	 451	 9.20	TF  	37	  4	 6.88	 7.18	 418	-0.6	NGC4414        	-0.3
BTS146            	190.008750	+38.000556	15.08	 27	10	 446	 8.50	TF  	67	  6	 7.14	 6.97	 470	-0.3	NGC5055        	 0.0
SUCD1             	190.012917	-11.667778	14.70	   	-1	1305	 9.30	mem 	18	   	 7.37	 7.15	1109	 6.5	NGC4594        	 6.5
KKSG33            	190.037083	-12.364722	14.22	   	-3	    	 9.30	mem 	10	   	 7.57	 6.99	    	 3.1	NGC4594        	 3.1
VCC1822           	190.043333	 +6.846944	13.97	 23	10	1008	 8.10	TF  	69	  3	 7.54	 7.07	 885	-1.1	NGC4594        	-0.7
NGC4597           	190.053750	 -5.799167	11.68	163	 8	1039	10.10	TF  	64	 79	 8.66	 9.12	 912	 0.0	NGC4594        	 0.2
NGC4600           	190.095833	 +3.117778	 9.81	   	 0	 852	 7.35	SBF 	53	   	 9.12	 7.06	 713	-1.0	NGC4594        	-0.8
KKSG34            	190.328750	-11.927500	13.69	   	-3	    	 9.30	mem 	34	   	 7.78	 6.99	    	 3.8	NGC4594        	 3.8
NGC4618           	190.386667	+41.150833	 8.66	 90	 6	 536	 7.90	TF  	41	 59	 9.65	 8.90	 576	 3.4	NGC4625        	 3.4
LV J1241+3251     	190.447083	+32.857778	13.98	 27	10	 693	 7.30	mem 	65	  7	 7.45	 7.20	 693	 2.8	NGC4627        	 3.1
