#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T06:07:22 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T06:07:22	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/MNRAS/455/892/tablea1&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74550892
#Name: J/MNRAS/455/892
#Title: Galaxy cluster concentration-mass relation (Groener+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/mnras/455/892	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/455/892	    IVOID of underlying data collection
#INFO	creator=Groener A.M.	    First author or institution
#INFO	cites=bibcode:2016MNRAS.455..892G	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/455/892	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74550892	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-15	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_455_892_tablea1:
#Name: J/MNRAS/455/892/tablea1
#Title: Cluster concentrations and masses
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Cluster	(a21)	Cluster name	[ucd=meta.id.parent]
#Column	z	(F7.4)	Redshift	[ucd=src.redshift]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Method	(A5)	Method used	[ucd=meta.note]
#Column	c200	(F5.2)	Concentration parameter c200=R200/rs	[ucd=stat.param]
#Column	E_c200	(F5.2)	? Error on c200 (upper value)	[ucd=stat.error;stat.max]
#Column	e_c200	(F5.2)	? Error on c200 (lower value)	[ucd=stat.error]
#Column	M200	(F7.3)	? Total cluster mass at radius R200	[ucd=phys.mass]
#Column	E_M200	(F7.3)	? Error on M200 (upper value)	[ucd=stat.error;stat.max]
#Column	f_E_M200	(A1)	[-i] i for +{infinity} for upper error	[ucd=meta.code]
#Column	e_M200	(F6.3)	? Error on M200 (lower value)	[ucd=stat.error]
#Column	cvir	(F5.2)	Viral concentration	[ucd=meta.note]
#Column	E_cvir	(F5.2)	? Error on cvir (upper value)	[ucd=stat.error;stat.max]
#Column	e_cvir	(F5.2)	? Error on cvir (lower value)	[ucd=stat.error]
#Column	Mvir	(F7.3)	? Virial mass	[ucd=phys.mass]
#Column	E_Mvir	(F8.3)	? Error on Mvir (upper value)	[ucd=stat.error;stat.max]
#Column	f_E_Mvir	(A1)	[-i] i for +{infinity} for upper error	[ucd=meta.code]
#Column	e_Mvir	(F6.3)	? Error on Mvir (lower value)	[ucd=stat.error]
#Column	Ref	(a36)	Reference, in refs.dat file	[ucd=meta.ref;pos.frame;meta.file]
#Column	delta	(a15)	Virial overdensity	[ucd=stat.fit.param]
#Column	Omegam	(F6.3)	Cosmological parameter, {Omega}_m_	[ucd=phys.cosmology]
#Column	Omegal	(F6.3)	Cosmological parameter, {Omega}_{lambda}_	[ucd=phys.cosmology]
#Column	h	(F6.3)	? Cosmological parameter, h	[ucd=phys.cosmology]
#Column	SimbadName	(f)	Simbad column added by the CDS	[ucd=meta.id]
recno	Cluster	z	RAJ2000	DEJ2000	Method	c200	E_c200	e_c200	M200	E_M200	f_E_M200	e_M200	cvir	E_cvir	e_cvir	Mvir	E_Mvir	f_E_Mvir	e_Mvir	Ref	delta	Omegam	Omegal	h	SimbadName
     599	MACS J1532.9+3021    	 0.3630	15 32 53.80	+30 20 58.0	X-ray	 4.71	 1.32	 1.25	  8.460	  5.960	-	 2.730	 5.69	 1.56	 1.47	  9.670	   7.190	-	 3.220	Schmidt & Allen (2007)              	Virial         	 0.300	 0.700	 0.700	MACS J1532.9+3021
     600	SDSS J0851+3331      	 0.3700	08 51 38.86	+33 31 06.1	WL   	 8.60	 2.60	 2.60	  7.100	  2.000	-	 2.000	10.30	 3.10	 3.10	  7.900	   2.300	-	 2.300	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	ZwCl 0848+3341
     601	SDSS J0851+3331      	 0.3700	08 51 38.86	+33 31 06.1	WL   	 4.60	 2.77	 1.66	  6.360	  2.120	-	 1.700	 5.62	 3.39	 2.03	  7.330	   2.440	-	 1.960	Oguri et al. (2012)                 	Virial         	 0.275	 0.725	 0.702	ZwCl 0848+3341
     602	SDSS J0851+3331      	 0.3700	08 51 38.86	+33 31 06.1	WL+SL	 7.80	 2.60	 1.53	  5.590	  1.610	-	 1.440	 9.44	 3.15	 1.85	  6.240	   1.800	-	 1.610	Oguri et al. (2012)                 	Virial         	 0.275	 0.725	 0.702	ZwCl 0848+3341
     603	MS 1512.4+3647       	 0.3720	15 14 25.10	+36 36 30.0	X-ray	 7.82	     	     	  7.200	       	 	      	 9.35	     	     	  7.900	        	 	      	Molikawa et al. (1999)              	Virial         	 0.300	 0.700	 0.500	MS 1512.4+3647
     604	Abell 370            	 0.3750	02 39 50.50	-01 35 08.0	WL   	 5.83	 0.91	 0.77	 31.140	  3.920	-	 3.330	 7.00	 1.09	 0.92	 35.010	   4.410	-	 3.740	Umetsu et al. (2011a)               	Virial         	 0.300	 0.700	 0.700	Abell 370
     605	MACS J0011.7-1523    	 0.3790	00 11 42.90	-15 23 22.0	X-ray	 4.01	 0.23	 0.33	 48.340	  3.820	-	 4.150	 4.94	 0.28	 0.41	 56.760	   4.490	-	 4.870	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	MACS J0011.7-1523
     606	BCS J2352-5452       	 0.3838	23 51 38.00	-54 52 53.0	WL   	 4.90	 3.90	 2.20	  5.000	  2.900	-	 2.300	 5.90	 4.70	 2.60	  5.700	   3.300	-	 2.600	Buckley-Geer et al. (2011)          	200            	 0.300	 0.700	 0.700	SPT-CL J2351-5452
     607	BCS J2352-5452       	 0.3838	23 51 38.00	-54 52 53.0	WL+SL	 5.50	 2.70	 1.60	  4.900	  2.900	-	 2.200	 6.60	 3.20	 1.90	  5.600	   3.300	-	 2.500	Buckley-Geer et al. (2011)          	200            	 0.300	 0.700	 0.700	SPT-CL J2351-5452
     608	MACS J1720.3+3536    	 0.3910	17 20 16.80	+35 36 26.0	WL   	 6.10	 1.50	 1.50	 10.100	  2.600	-	 2.600	 7.30	 1.80	 1.80	 11.400	   3.100	-	 3.100	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	MACS J1720.3+3536
     609	MACS J1720.3+3536    	 0.3910	17 20 16.80	+35 36 26.0	X-ray	 5.25	 0.61	 0.36	 40.700	  5.170	-	 4.920	 6.40	 0.74	 0.44	 46.720	   5.930	-	 5.650	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	MACS J1720.3+3536
     610	MACS J1720.3+3536    	 0.3910	17 20 16.80	+35 36 26.0	WL+SL	 4.30	 1.40	 1.40	  7.500	  0.800	-	 0.800	 5.20	 1.70	 1.70	  8.800	   0.800	-	 0.800	Merten et al. (2014)                	2500/200/virial	 0.270	 0.730	 0.700	MACS J1720.3+3536
     611	MACS J1720.3+3536    	 0.3910	17 20 16.80	+35 36 26.0	X-ray	 4.37	 1.21	 0.88	  9.010	  4.630	-	 3.300	 5.26	 1.42	 1.04	 10.310	   5.550	-	 3.870	Schmidt & Allen (2007)              	Virial         	 0.300	 0.700	 0.700	MACS J1720.3+3536
     612	ZwCl 0024.0+1652     	 0.3950	00 26 35.70	+17 09 46.0	WL   	 7.41	 1.89	 1.41	 17.740	  3.000	-	 2.590	 8.82	 2.25	 1.68	 19.660	   3.320	-	 2.870	Umetsu et al. (2011a)               	Virial         	 0.300	 0.700	 0.700	ZwCl 0024+1652
     613	ZwCl 0024.0+1652     	 0.3950	00 26 35.70	+17 09 46.0	WL+SL	22.00	 9.00	 5.00	  5.700	  1.100	-	 1.000	26.00	10.00	 6.00	  6.100	   1.200	-	 1.100	Kneib et al. (2003)                 	200            	 0.300	 0.700	 0.650	ZwCl 0024+1652
     614	SDSS J0915+3826      	 0.3970	09 15 39.00	+38 26 58.5	WL   	13.20	 3.80	 3.80	  1.900	  0.700	-	 0.700	15.60	 4.40	 4.40	  2.100	   0.800	-	 0.800	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	[WHL2009] J091539.0+382658
     615	SDSS J0915+3826      	 0.3970	09 15 39.00	+38 26 58.5	WL   	33.62	 0.00	14.49	  0.860	  0.280	-	 0.260	39.81	 0.00	17.16	  0.910	   0.300	-	 0.280	Oguri et al. (2012)                 	Virial         	 0.275	 0.725	 0.702	[WHL2009] J091539.0+382658
     616	SDSS J0915+3826      	 0.3970	09 15 39.00	+38 26 58.5	WL+SL	22.65	10.85	 9.15	  0.750	  0.470	-	 0.250	26.92	12.90	10.88	  0.800	   0.500	-	 0.270	Oguri et al. (2012)                 	Virial         	 0.275	 0.725	 0.702	[WHL2009] J091539.0+382658
     617	MACS J0429.6-0253    	 0.3990	04 29 36.00	-02 53 08.0	WL   	 5.80	 1.40	 1.40	  7.900	  2.400	-	 2.400	 6.90	 1.60	 1.60	  8.900	   2.800	-	 2.800	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	MACS J0429.6-0253
     618	MACS J0429.6-0253    	 0.3990	04 29 36.00	-02 53 08.0	X-ray	 3.36	 1.76	 1.65	 18.500	  1.820	-	 1.630	 4.14	 2.17	 2.03	 21.970	   2.160	-	 1.940	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	MACS J0429.6-0253
     619	MACS J0429.6-0253    	 0.3990	04 29 36.00	-02 53 08.0	WL+SL	 3.30	 1.30	 1.30	  8.000	  1.400	-	 1.400	 4.00	 1.60	 1.60	  9.600	   1.400	-	 1.400	Merten et al. (2014)                	2500/200/virial	 0.270	 0.730	 0.700	MACS J0429.6-0253
     620	MACS J0429.6-0253    	 0.3990	04 29 36.00	-02 53 08.0	X-ray	 7.64	 1.57	 1.10	  3.660	  1.110	-	 0.970	 9.09	 1.84	 1.29	  4.050	   1.270	-	 1.100	Schmidt & Allen (2007)              	Virial         	 0.300	 0.700	 0.700	MACS J0429.6-0253
     621	MACS J0159.8-0849    	 0.4050	01 59 49.40	-08 49 59.0	X-ray	 5.35	 0.82	 0.72	 44.000	  4.840	-	 4.440	 6.50	 1.00	 0.87	 50.340	   5.540	-	 5.080	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	MACS J0159.8-0849
     622	MACS J0159.8-0849    	 0.4050	01 59 49.40	-08 49 59.0	X-ray	 4.93	 1.01	 1.07	 11.590	  6.290	-	 3.300	 5.90	 1.18	 1.25	 13.130	   7.460	-	 3.840	Schmidt & Allen (2007)              	Virial         	 0.300	 0.700	 0.700	MACS J0159.8-0849
     623	SDSS J1343+4155      	 0.4180	13 43 32.85	+41 55 03.4	WL   	 4.50	 1.30	 1.30	  4.600	  1.600	-	 1.600	 5.40	 1.50	 1.50	  5.300	   1.900	-	 1.900	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	[SPD2011] 4684
     624	SDSS J1343+4155      	 0.4180	13 43 32.85	+41 55 03.4	WL   	 3.76	 4.66	 1.92	  3.350	  1.780	-	 1.260	 4.57	 5.66	 2.33	  3.890	   2.070	-	 1.460	Oguri et al. (2012)                 	Virial         	 0.275	 0.725	 0.702	[SPD2011] 4684
     625	SDSS J1343+4155      	 0.4180	13 43 32.85	+41 55 03.4	WL+SL	 4.18	 1.39	 0.82	  3.260	  1.340	-	 1.080	 5.07	 1.69	 1.00	  3.760	   1.550	-	 1.250	Oguri et al. (2012)                 	Virial         	 0.275	 0.725	 0.702	[SPD2011] 4684
     626	MACS J0416.1-2403    	 0.4200	04 16 09.90	-24 03 58.0	WL   	 8.00	 1.70	 1.70	  8.600	  1.400	-	 1.400	 9.50	 2.00	 2.00	  9.500	   1.700	-	 1.700	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	MACS J0416.1-2403
     627	MS 0302.7+1658       	 0.4260	03 05 31.70	+17 10 03.0	X-ray	 7.39	     	     	  8.500	       	 	      	 8.75	     	     	  9.400	        	 	      	Molikawa et al. (1999)              	Virial         	 0.300	 0.700	 0.500	MS 0302.7+1658
     628	SDSS J1038+4849      	 0.4300	10 38 42.90	+48 49 18.7	WL   	14.80	 3.50	 3.50	  1.700	  0.400	-	 0.400	17.30	 4.10	 4.10	  1.800	   0.400	-	 0.400	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	[SPD2011] 8049
     629	SDSS J1038+4849      	 0.4300	10 38 42.90	+48 49 18.7	WL   	17.65	15.99	11.46	  0.800	  0.660	-	 0.360	20.89	18.92	13.56	  0.860	   0.710	-	 0.390	Oguri et al. (2012)                 	Virial         	 0.275	 0.725	 0.702	[SPD2011] 8049
     630	SDSS J1038+4849      	 0.4300	10 38 42.90	+48 49 18.7	WL+SL	33.83	 0.00	18.36	  0.700	  0.490	-	 0.110	39.81	 0.00	21.61	  0.740	   0.520	-	 0.120	Oguri et al. (2012)                 	Virial         	 0.275	 0.725	 0.702	[SPD2011] 8049
     631	SDSS J1226+2152      	 0.4300	12 26 51.70	+21 52 26.0	WL   	 6.20	 5.80	 5.80	  1.900	  2.100	-	 2.100	 7.40	 6.80	 6.80	  2.100	   2.500	-	 2.500	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	[BHG2011] SDSS J1226+2152
     632	SDSS J1226+2152      	 0.4300	12 26 51.70	+21 52 26.0	WL   	 5.70	27.48	 5.69	  0.710	 66.610	-	 0.620	 6.84	32.97	 6.83	  0.800	  75.050	-	 0.700	Oguri et al. (2012)                 	Virial         	 0.275	 0.725	 0.702	[BHG2011] SDSS J1226+2152
     633	SDSS J1226+2152      	 0.4300	12 26 51.70	+21 52 26.0	WL+SL	33.83	 0.00	28.15	  0.370	  1.200	-	 0.240	39.81	 0.00	33.13	  0.390	   1.270	-	 0.250	Oguri et al. (2012)                 	Virial         	 0.275	 0.725	 0.702	[BHG2011] SDSS J1226+2152
     634	SDSS J1226+2149      	 0.4350	12 26 51.11	+21 49 52.3	WL   	 4.90	 1.50	 1.50	 10.000	  3.400	-	 3.400	 5.80	 1.70	 1.70	 11.400	   4.100	-	 4.100	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	[BHG2011] SDSS J1226+2149
     635	SDSS J1226+2149      	 0.4350	12 26 51.11	+21 49 52.3	WL   	 4.35	 2.08	 1.44	  7.690	  3.170	-	 2.300	 5.25	 2.51	 1.74	  8.810	   3.630	-	 2.640	Oguri et al. (2012)                 	Virial         	 0.275	 0.725	 0.702	[BHG2011] SDSS J1226+2149
     636	SDSS J1226+2149      	 0.4350	12 26 51.11	+21 49 52.3	WL+SL	 4.61	 1.40	 0.95	  7.550	  2.880	-	 2.140	 5.56	 1.69	 1.14	  8.610	   3.280	-	 2.440	Oguri et al. (2012)                 	Virial         	 0.275	 0.725	 0.702	[BHG2011] SDSS J1226+2149
     637	MACS J1206.2-0847    	 0.4390	12 06 12.20	-08 48 01.0	SL   	 3.70	 0.20	 0.20	       	       	 	      	 4.40	 0.20	 0.20	       	        	 	      	Eichner et al. (2013)               	200            	 0.272	 0.728	 0.702	MACS J1206.2-0847
     638	MACS J1206.2-0847    	 0.4390	12 06 12.20	-08 48 01.0	LOSVD	 7.30	 2.40	 2.40	 13.700	  1.800	-	 1.800	 8.60	 2.80	 2.80	 15.200	   2.300	-	 2.300	Biviano et al. (2013)               	200            	 0.300	 0.700	 0.700	MACS J1206.2-0847
     639	MACS J1206.2-0847    	 0.4390	12 06 12.20	-08 48 01.0	CM   	 4.40	 3.00	 3.00	 16.300	  5.800	-	 5.800	 5.30	 3.50	 3.50	 18.600	   7.500	-	 7.500	Biviano et al. (2013)               	200            	 0.300	 0.700	 0.700	MACS J1206.2-0847
     640	MACS J1206.2-0847    	 0.4390	12 06 12.20	-08 48 01.0	WL   	 6.30	 1.80	 1.80	 13.300	  3.300	-	 3.300	 7.50	 2.10	 2.10	 14.900	   3.900	-	 3.900	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	MACS J1206.2-0847
     641	MACS J1206.2-0847    	 0.4390	12 06 12.20	-08 48 01.0	WL+SL	 4.30	 1.50	 1.50	  8.600	  1.100	-	 1.100	 5.20	 1.70	 1.70	 10.000	   1.100	-	 1.100	Merten et al. (2014)                	2500/200/virial	 0.270	 0.730	 0.700	MACS J1206.2-0847
     642	SDSS J1329+2243      	 0.4430	13 29 34.49	+22 43 16.2	WL   	 5.00	 0.90	 0.90	  6.700	  1.300	-	 1.300	 6.00	 1.00	 1.00	  7.600	   1.600	-	 1.600	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	ClG J1329+2243
     643	SDSS J1329+2243      	 0.4430	13 29 34.49	+22 43 16.2	WL   	 8.31	 6.13	 3.01	  4.440	  1.210	-	 1.030	 9.89	 7.29	 3.58	  4.900	   1.340	-	 1.140	Oguri et al. (2012)                 	Virial         	 0.275	 0.725	 0.702	ClG J1329+2243
     644	SDSS J1329+2243      	 0.4430	13 29 34.49	+22 43 16.2	WL+SL	 4.84	 0.98	 0.67	  4.950	  1.220	-	 1.070	 5.82	 1.18	 0.81	  5.620	   1.380	-	 1.210	Oguri et al. (2012)                 	Virial         	 0.275	 0.725	 0.702	ClG J1329+2243
     645	SDSS J0957+0509      	 0.4480	09 57 39.19	+05 09 31.9	WL   	 6.90	 2.60	 2.60	  2.000	  1.100	-	 1.100	 8.20	 3.00	 3.00	  2.200	   1.300	-	 1.300	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	[BHG2011] SDSS J0957+0509
     646	SDSS J0957+0509      	 0.4480	09 57 39.19	+05 09 31.9	WL   	33.94	 0.00	23.57	  0.920	  0.570	-	 0.290	39.81	 0.00	27.65	  0.970	   0.600	-	 0.310	Oguri et al. (2012)                 	Virial         	 0.275	 0.725	 0.702	[BHG2011] SDSS J0957+0509
     647	SDSS J0957+0509      	 0.4480	09 57 39.19	+05 09 31.9	WL+SL	 7.57	 3.75	 1.83	  1.160	  0.760	-	 0.550	 9.02	 4.47	 2.18	  1.290	   0.850	-	 0.610	Oguri et al. (2012)                 	Virial         	 0.275	 0.725	 0.702	[BHG2011] SDSS J0957+0509
     648	MACS J0329.7-0212    	 0.4500	03 29 41.50	-02 11 46.0	WL   	 9.00	 2.30	 2.30	  8.700	  1.600	-	 1.600	10.60	 2.70	 2.70	  9.500	   1.900	-	 1.900	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	MACS J0329.7-0212
     649	MACS J0329.7-0212    	 0.4500	03 29 41.50	-02 11 46.0	WL+SL	 3.80	 1.60	 1.60	  7.300	  1.000	-	 1.000	 4.70	 1.90	 1.90	  8.600	   1.100	-	 1.100	Merten et al. (2014)                	2500/200/virial	 0.270	 0.730	 0.700	MACS J0329.7-0212
     650	MACS J0329.7-0212    	 0.4500	03 29 41.50	-02 11 46.0	X-ray	 4.74	 0.75	 0.78	  6.620	  2.570	-	 1.560	 5.62	 0.88	 0.91	  7.480	   3.030	-	 1.810	Schmidt & Allen (2007)              	Virial         	 0.300	 0.700	 0.700	MACS J0329.7-0212
     651	SDSS J1138+2754      	 0.4510	11 38 08.95	+27 54 30.7	WL   	 3.60	 0.30	 0.30	 12.700	  0.700	-	 0.700	 4.30	 0.40	 0.40	 14.700	   0.900	-	 0.900	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	[BHG2011] SDSS J1138+2754
     652	SDSS J1138+2754      	 0.4510	11 38 08.95	+27 54 30.7	WL   	 2.92	 1.25	 0.90	  9.490	  2.180	-	 1.950	 3.55	 1.52	 1.09	 11.220	   2.580	-	 2.310	Oguri et al. (2012)                 	Virial         	 0.275	 0.725	 0.702	[BHG2011] SDSS J1138+2754
     653	SDSS J1138+2754      	 0.4510	11 38 08.95	+27 54 30.7	WL+SL	 3.70	 0.50	 0.44	  8.940	  1.810	-	 1.590	 4.47	 0.60	 0.53	 10.350	   2.090	-	 1.840	Oguri et al. (2012)                 	Virial         	 0.275	 0.725	 0.702	[BHG2011] SDSS J1138+2754
     654	RX J1347.5-1145      	 0.4510	13 47 30.60	-11 45 10.0	WL   	 4.50	 1.20	 1.20	 27.900	  7.100	-	 7.100	 5.40	 1.40	 1.40	 31.800	   8.700	-	 8.700	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	RX J1347.5-1145
     655	RX J1347.5-1145      	 0.4510	13 47 30.60	-11 45 10.0	WL   	 7.71	 2.67	 1.84	 19.330	  3.600	-	 3.170	 9.08	 3.14	 2.17	 21.260	   3.960	-	 3.490	Umetsu et al. (2011a)               	Virial         	 0.300	 0.700	 0.700	RX J1347.5-1145
     656	RX J1347.5-1145      	 0.4510	13 47 30.60	-11 45 10.0	WL+SL	 3.90	 1.50	 1.50	 11.600	  1.900	-	 1.900	 4.70	 1.80	 1.80	 13.500	   1.900	-	 1.900	Merten et al. (2014)                	2500/200/virial	 0.270	 0.730	 0.700	RX J1347.5-1145
     657	RX J1347.5-1145      	 0.4510	13 47 30.60	-11 45 10.0	WL   	15.00	64.00	10.00	 27.000	 26.000	-	14.000	18.00	74.00	12.00	 29.000	  31.000	-	15.000	Kling et al. (2005)                 	200            	 0.300	 0.700	 0.500	RX J1347.5-1145
     658	RX J1347.5-1145      	 0.4510	13 47 30.60	-11 45 10.0	X-ray	 4.79	 0.68	 0.37	 32.000	  6.100	-	 8.200	 5.68	 0.79	 0.43	 36.100	   7.100	-	 9.500	Schmidt & Allen (2007)              	Virial         	 0.300	 0.700	 0.700	RX J1347.5-1145
     659	RX J1347.5-1145      	 0.4510	13 47 30.60	-11 45 10.0	X-ray	 4.37	 1.39	 1.24	 33.000	 48.000	-	18.000	 5.20	 1.62	 1.45	 37.000	  57.000	-	21.000	Voigt & Fabian (2006)               	200/2E4        	 0.300	 0.700	 0.700	RX J1347.5-1145
     660	RX J1347.5-1145      	 0.4510	13 47 30.60	-11 45 10.0	X-ray	 6.34	 1.61	 1.35	 23.700	 14.200	-	 9.300	 7.49	 1.87	 1.57	 26.300	  16.300	-	10.500	Allen et al. (2003)                 	200            	 0.300	 0.700	 0.500	RX J1347.5-1145
     661	3C 295               	 0.4610	14 11 20.50	+52 12 10.0	X-ray	 7.79	 1.04	 0.90	  3.570	  0.810	-	 0.650	 9.15	 1.20	 0.90	  3.930	   0.920	-	 0.730	Schmidt & Allen (2007)              	Virial         	 0.300	 0.700	 0.700	3C 295
     662	3C 295               	 0.4610	14 11 20.50	+52 12 10.0	X-ray	 7.90	 1.71	 1.72	  3.760	  1.590	-	 1.020	 9.29	 2.01	 2.02	  4.140	   1.750	-	 1.120	Allen et al. (2003)                 	200            	 0.300	 0.700	 0.500	3C 295
     663	MACS J1621.6+3810    	 0.4610	16 21 36.00	+38 10 00.0	X-ray	 5.97	 2.95	 1.94	  7.100	  5.330	-	 2.900	 7.05	 3.42	 2.26	  7.910	   6.250	-	 3.310	Schmidt & Allen (2007)              	Virial         	 0.300	 0.700	 0.700	MACS J1621.6+3810
     664	SDSS J1446+3032      	 0.4640	14 46 34.02	+30 32 58.2	SL   	 9.80	23.70	 6.00	  4.800	 12.100	-	 2.500	11.70	28.30	 7.20	  5.300	  13.400	-	 2.800	Oguri et al. (2009)                 	Virial         	 0.260	 0.740	 0.720	ClG J1446+3032
     665	SDSS J1446+3032      	 0.4640	14 46 34.02	+30 32 58.2	WL   	 7.60	 9.50	 3.40	  7.500	  2.600	-	 2.300	 9.10	11.40	 4.10	  8.300	   2.900	-	 2.500	Oguri et al. (2009)                 	Virial         	 0.260	 0.740	 0.720	ClG J1446+3032
     666	SDSS J1446+3032      	 0.4640	14 46 34.02	+30 32 58.2	WL+SL	 6.90	 3.20	 2.60	  7.400	  2.700	-	 2.000	 8.30	 3.90	 3.10	  8.300	   3.000	-	 2.200	Oguri et al. (2009)                 	Virial         	 0.260	 0.740	 0.720	ClG J1446+3032
     667	SDSS J1446+3032      	 0.4640	14 46 34.02	+30 32 58.2	WL   	10.00	 3.90	 3.90	  6.300	  1.600	-	 1.600	11.70	 4.50	 4.50	  6.900	   1.900	-	 1.900	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	ClG J1446+3032
     668	SDSS J1446+3032      	 0.4640	14 46 34.02	+30 32 58.2	WL   	10.65	 7.65	 3.70	  3.730	  1.070	-	 0.900	12.59	 9.04	 4.37	  4.070	   1.170	-	 0.980	Oguri et al. (2012)                 	Virial         	 0.275	 0.725	 0.702	ClG J1446+3032
     669	SDSS J1446+3032      	 0.4640	14 46 34.02	+30 32 58.2	WL+SL	10.16	 7.09	 3.21	  3.770	  1.090	-	 0.910	12.02	 8.39	 3.80	  4.120	   1.190	-	 0.990	Oguri et al. (2012)                 	Virial         	 0.275	 0.725	 0.702	ClG J1446+3032
     670	SDSS J1115+5319      	 0.4660	11 15 14.85	+53 19 54.6	WL   	 4.60	 1.70	 1.70	 12.400	  3.600	-	 3.600	 5.50	 2.00	 2.00	 14.100	   4.400	-	 4.400	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	ClG J1115+5319
     671	SDSS J1115+5319      	 0.4660	11 15 14.85	+53 19 54.6	WL   	 2.17	 1.00	 0.73	  9.520	  2.890	-	 2.380	 2.66	 1.23	 0.90	 11.610	   3.520	-	 2.900	Oguri et al. (2012)                 	Virial         	 0.275	 0.725	 0.702	ClG J1115+5319
     672	SDSS J1115+5319      	 0.4660	11 15 14.85	+53 19 54.6	WL+SL	 4.38	 1.26	 0.82	  9.290	  2.680	-	 2.400	 5.25	 1.51	 0.98	 10.590	   3.050	-	 2.740	Oguri et al. (2012)                 	Virial         	 0.275	 0.725	 0.702	ClG J1115+5319
     673	RCS2 J1055+5548      	 0.4660	10 55 04.59	+55 48 23.3	WL   	 6.40	 1.10	 1.10	  5.900	  1.400	-	 1.400	 7.50	 1.30	 1.30	  6.600	   1.600	-	 1.600	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	[BHG2011] RCS2 J1055+5548
     674	RCS2 J1055+5548      	 0.4660	10 55 04.59	+55 48 23.3	WL   	 5.16	 3.40	 1.86	  4.550	  1.520	-	 1.180	 6.17	 4.07	 2.23	  5.130	   1.710	-	 1.330	Oguri et al. (2012)                 	Virial         	 0.275	 0.725	 0.702	[BHG2011] RCS2 J1055+5548
     675	RCS2 J1055+5548      	 0.4660	10 55 04.59	+55 48 23.3	WL+SL	 6.22	 1.18	 0.92	  4.290	  1.170	-	 0.960	 7.41	 1.40	 1.10	  4.790	   1.310	-	 1.070	Oguri et al. (2012)                 	Virial         	 0.275	 0.725	 0.702	[BHG2011] RCS2 J1055+5548
     676	SDSS J1456+5702      	 0.4840	14 56 00.78	+57 02 20.3	WL   	15.60	 2.80	 2.80	  4.300	  0.700	-	 0.700	18.10	 3.20	 3.20	  4.600	   0.800	-	 0.800	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	[BHG2011] SDSS J1456+5702
     677	SDSS J1456+5702      	 0.4840	14 56 00.78	+57 02 20.3	WL   	 2.40	 1.36	 0.95	  5.560	  1.690	-	 1.390	 2.92	 1.65	 1.16	  6.680	   2.030	-	 1.670	Oguri et al. (2012)                 	Virial         	 0.275	 0.725	 0.702	[BHG2011] SDSS J1456+5702
