#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T02:47:29 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T02:47:29	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/ApJS/247/31/table1&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22470031
#Name: J/ApJS/247/31
#Title: Dark matter halo models for SPARC galaxies (Li+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/apjs/247/31	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/247/31	    IVOID of underlying data collection
#INFO	creator=Li P.	    First author or institution
#INFO	cites=bibcode:2020ApJS..247...31L	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/247/31	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22470031	    Dataset identifier that can be used for citation
#INFO	publication_date=2020-10-07	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_247_31_table1:
#Name: J/ApJS/247/31/table1
#Title: The best-fit parameters for the 175 SPARC galaxies
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a11)	Galaxy Name	[ucd=meta.id;meta.main]
#Column	Model	(A12)	Dark matter halo profile (1)	[ucd=meta.id;stat.fit]
#Column	Ydisk	(F5.2)	[0.1/4.3] Stellar mass-to-light ratio for disks	[ucd=phys.composition.massLightRatio]
#Column	e_Ydisk	(F5.2)	[0.01/0.6] Error on Ydisk	[ucd=stat.error]
#Column	Ybul	(F5.2)	[0/2.1] Stellar mass-to-light ratio for bulges	[ucd=phys.composition.massLightRatio]
#Column	e_Ybul	(F5.2)	[0/0.3] Error on Ybul	[ucd=stat.error]
#Column	Dist	(F6.2)	[0.02/129] Galaxy distance	[ucd=pos.distance;pos.heliocentric]
#Column	e_Dist	(F5.2)	[0.05/15.1] Error in Dist	[ucd=stat.error]
#Column	inc	(F4.1)	[5.4/90] Disk inclination	[ucd=src.orbital.inclination]
#Column	e_inc	(F4.1)	[0.6/14.3] Error in inc	[ucd=stat.error]
#Column	V200	(F6.2)	[10/500] Rotation velocity at r_200_ (2)	[ucd=phys.veloc.rotat]
#Column	e_V200	(F6.2)	[0.7/158] Error in V200	[ucd=stat.error]
#Column	C200	(F6.2)	[1/999.3] Halo concentration (2)	[ucd=meta.note]
#Column	e_C200	(F6.2)	[0.01/334.2] Error in C200	[ucd=stat.error]
#Column	rs	(F6.2)	[0.02/672] Halo scale radius	[ucd=phys.size.radius;instr.scale]
#Column	e_rs	(F8.2)	[0.01/17815] Error in rs	[ucd=stat.error]
#Column	log(rhos)	(F5.2)	[-5/3.3] Volume density of dark matter halos	[ucd=meta.bib.volume]
#Column	e_log(rhos)	(F6.2)	[0.06/271] Error in log(rhos)	[ucd=stat.error]
#Column	log(M200)	(F5.2)	[8.5/13.6] Halo mass (2)	[ucd=phys.mass]
#Column	e_log(M200)	(F5.2)	[0.02/20.3] Error in log(M200)	[ucd=stat.error]
#Column	alpha	(F5.2)	[0/2] Shape parameter for the Einasto model	[ucd=stat.param]
#Column	e_alpha	(F5.2)	[0/0.75] Error in alpha	[ucd=stat.error;pos.eq.ra]
#Column	chi2	(F5.2)	[0.02/36.6]? Reduced {Chi}^2^ (infinite when blank)	[ucd=stat.fit.chi2]
recno	Name	Model	Ydisk	e_Ydisk	Ybul	e_Ybul	Dist	e_Dist	inc	e_inc	V200	e_V200	C200	e_C200	rs	e_rs	log(rhos)	e_log(rhos)	log(M200)	e_log(M200)	alpha	e_alpha	chi2
    1570	UGC06446   	coreNFW-LCDM	 0.80	 0.20	 0.00	 0.00	 17.22	 2.15	50.8	 2.8	 69.19	  4.46	  7.99	  1.98	 11.87	    3.04	-2.42	  0.35	11.02	 0.08	 0.00	 0.00	 1.38
    1571	UGC06446   	Lucky13-Flat	 0.51	 0.13	 0.00	 0.00	 12.91	 3.55	51.1	 3.0	 51.01	  3.92	 36.15	 12.59	  1.93	    0.69	-0.67	  0.48	10.63	 0.10	 0.00	 0.00	 0.27
    1572	UGC06446   	Lucky13-LCDM	 0.49	 0.24	 0.00	 0.00	 17.03	 2.50	48.7	 2.8	 62.41	  5.31	 23.00	  5.12	  3.72	    0.89	-1.17	  0.33	10.89	 0.11	 0.00	 0.00	 0.91
    1573	UGC06614   	pISO-Flat   	 0.50	 0.12	 0.71	 0.17	 87.90	 8.83	33.0	 4.8	240.68	 38.41	 26.20	 15.10	 12.58	    7.52	-2.14	  0.85	12.65	 0.21	 0.00	 0.00	 0.18
    1574	UGC06614   	Burkert-Flat	 0.49	 0.12	 0.71	 0.16	 87.79	 8.83	33.4	 4.7	171.42	 22.75	 10.74	  2.89	 21.86	    6.55	-2.14	  0.43	12.21	 0.17	 0.00	 0.00	 0.10
    1575	UGC06614   	NFW-Flat    	 0.47	 0.12	 0.69	 0.16	 88.01	 9.00	29.7	 4.7	238.77	 60.52	  4.87	  2.49	 67.22	   38.37	-2.92	  0.83	12.64	 0.33	 0.00	 0.00	 0.27
    1576	UGC06614   	NFW-LCDM    	 0.47	 0.11	 0.71	 0.17	 88.00	 8.27	28.8	 3.4	234.82	 41.67	  5.48	  1.31	 58.72	   17.48	-2.80	  0.46	12.62	 0.23	 0.00	 0.00	 0.28
    1577	UGC06614   	Einasto-Flat	 0.48	 0.12	 0.67	 0.16	 88.57	 8.82	34.5	 5.0	124.22	 68.29	  5.74	  1.60	 29.62	   18.25	-2.97	  1.08	11.79	 0.72	 1.09	 0.49	 0.28
    1578	UGC06614   	Einasto-LCDM	 0.45	 0.11	 0.73	 0.17	 86.21	 8.44	26.7	 3.7	239.49	 50.03	  6.23	  1.66	 52.66	   17.82	-3.27	  0.52	12.64	 0.27	 0.21	 0.07	 0.28
    1579	UGC06614   	DC14-Flat   	 0.47	 0.12	 0.70	 0.17	 87.51	 8.80	30.1	 4.4	216.25	 25.82	  8.77	  3.32	 33.78	   13.42	-2.57	  0.42	12.51	 0.16	 0.00	 0.00	 0.18
    1580	UGC06614   	DC14-LCDM   	 0.47	 0.12	 0.68	 0.13	 87.80	 8.29	32.1	 3.4	218.25	 25.71	  7.28	  1.59	 41.10	   10.22	-2.77	  0.29	12.52	 0.15	 0.00	 0.00	 0.21
    1581	UGC06614   	coreNFW-Flat	 0.47	 0.12	 0.70	 0.16	 86.35	 8.82	30.7	 4.3	244.63	 61.64	  4.35	  2.09	 77.04	   41.82	-3.03	  0.80	12.67	 0.33	 0.00	 0.00	 0.28
    1582	UGC06614   	coreNFW-LCDM	 0.47	 0.11	 0.72	 0.16	 87.25	 8.38	28.8	 3.4	235.31	 41.81	  5.51	  1.25	 58.47	   16.84	-2.79	  0.45	12.62	 0.23	 0.00	 0.00	 0.28
    1583	UGC06614   	Lucky13-Flat	 0.49	 0.12	 0.68	 0.16	 87.82	 8.70	32.7	 4.6	198.37	 29.94	 12.01	  4.12	 22.63	    8.48	-1.85	  0.54	12.40	 0.20	 0.00	 0.00	 0.15
    1584	UGC06614   	Lucky13-LCDM	 0.49	 0.12	 0.62	 0.13	 87.42	 8.17	37.2	 4.1	201.59	 37.89	  8.39	  1.82	 32.90	    9.44	-2.21	  0.45	12.42	 0.24	 0.00	 0.00	 0.38
    1585	UGC06628   	pISO-Flat   	 0.50	 0.13	 0.00	 0.00	 14.74	 4.46	14.5	 6.1	 44.04	 93.18	208.36	268.74	  0.29	    0.72	-0.37	  4.28	10.43	 2.76	 0.00	 0.00	 0.31
    1586	UGC06628   	Burkert-Flat	 0.49	 0.13	 0.00	 0.00	 13.97	 4.44	16.0	 5.9	 24.07	 41.35	 32.15	280.70	  1.03	    9.13	-0.92	 11.89	 9.65	 2.24	 0.00	 0.00	 0.16
    1587	UGC06628   	NFW-Flat    	 0.49	 0.13	 0.00	 0.00	 15.27	 4.50	14.9	 5.6	 28.48	 50.59	 19.95	281.68	  1.96	   27.84	-1.43	 18.87	 9.87	 2.31	 0.00	 0.00	 0.25
    1588	UGC06628   	NFW-LCDM    	 0.51	 0.13	 0.00	 0.00	 15.09	 4.56	10.8	 2.6	 74.52	  9.13	  8.77	  2.46	 11.64	    3.56	-2.32	  0.44	11.12	 0.16	 0.00	 0.00	 0.90
    1589	UGC06628   	Einasto-Flat	 0.51	 0.14	 0.00	 0.00	 14.62	 4.56	16.4	 4.8	 17.00	 60.50	 12.91	315.84	  1.80	   44.60	-1.98	 32.54	 9.19	 4.64	 0.88	 0.60	 0.90
    1590	UGC06628   	Einasto-LCDM	 0.51	 0.13	 0.00	 0.00	 15.04	 4.60	 9.1	 2.2	 73.64	  9.40	 13.02	  4.34	  7.75	    2.77	-2.55	  0.50	11.10	 0.17	 0.15	 0.06	 0.90
    1591	UGC06628   	DC14-Flat   	 0.48	 0.13	 0.00	 0.00	 15.35	 4.51	15.8	 5.4	 28.49	 35.27	 15.17	289.02	  2.57	   49.11	-1.52	 18.65	 9.87	 1.61	 0.00	 0.00	 0.36
    1592	UGC06628   	DC14-LCDM   	 0.54	 0.13	 0.00	 0.00	 16.99	 4.63	12.1	 4.3	 77.00	  8.53	  9.63	  2.85	 10.96	    3.46	-2.53	  0.34	11.16	 0.14	 0.00	 0.00	 2.01
    1593	UGC06628   	coreNFW-Flat	 0.51	 0.13	 0.00	 0.00	 14.53	 4.48	15.1	 5.9	 24.22	 30.32	729.06	274.30	  0.05	    0.06	 2.83	  2.36	 9.66	 1.63	 0.00	 0.00	 0.27
    1594	UGC06628   	coreNFW-LCDM	 0.51	 0.13	 0.00	 0.00	 15.93	 4.47	11.9	 2.7	 75.41	  8.93	  7.93	  2.22	 13.03	    3.97	-2.42	  0.43	11.14	 0.15	 0.00	 0.00	 2.39
    1595	UGC06628   	Lucky13-Flat	 0.50	 0.13	 0.00	 0.00	 15.05	 4.47	15.5	 5.4	 25.00	 30.50	 43.96	274.60	  0.78	    4.96	-0.45	  8.51	 9.70	 1.59	 0.00	 0.00	 0.22
    1596	UGC06628   	Lucky13-LCDM	 0.54	 0.14	 0.00	 0.00	 15.44	 4.44	15.6	 4.0	 75.31	  8.84	  8.26	  2.40	 12.49	    3.91	-2.23	  0.45	11.13	 0.15	 0.00	 0.00	 2.81
    1597	UGC06667   	pISO-Flat   	 0.51	 0.13	 0.00	 0.00	 18.12	 2.56	88.9	 0.8	 97.99	  4.13	 74.56	 13.77	  1.80	    0.34	-1.25	  0.27	11.48	 0.05	 0.00	 0.00	 0.39
    1598	UGC06667   	Burkert-Flat	 0.50	 0.13	 0.00	 0.00	 17.83	 2.54	89.0	 0.8	 55.77	  2.69	 24.69	  3.17	  3.09	    0.42	-1.22	  0.19	10.74	 0.06	 0.00	 0.00	 0.17
    1599	UGC06667   	NFW-Flat    	 0.50	 0.13	 0.00	 0.00	 18.18	 2.53	88.9	 0.8	 99.88	 30.44	  6.69	  1.65	 20.46	    8.02	-2.60	  0.65	11.50	 0.40	 0.00	 0.00	 2.28
    1600	UGC06667   	NFW-LCDM    	 0.64	 0.15	 0.00	 0.00	 20.51	 2.15	89.0	 0.8	 74.21	  3.96	  8.83	  1.15	 11.52	    1.62	-2.31	  0.20	11.11	 0.07	 0.00	 0.00	 3.46
    1601	UGC06667   	Einasto-Flat	 0.50	 0.13	 0.00	 0.00	 18.44	 2.50	89.1	 0.8	 38.19	 13.18	 11.50	  1.61	  4.55	    1.69	-2.10	  0.67	10.25	 0.45	 0.98	 0.34	 3.46
    1602	UGC06667   	Einasto-LCDM	 0.53	 0.13	 0.00	 0.00	 17.53	 2.41	88.9	 0.8	 64.56	  4.64	  9.93	  1.21	  8.90	    1.26	-2.63	  0.21	10.93	 0.09	 0.36	 0.05	 3.46
    1603	UGC06667   	DC14-Flat   	 0.49	 0.12	 0.00	 0.00	 17.83	 2.47	89.0	 0.8	 63.69	  2.92	 26.31	  5.36	  3.32	    0.69	-1.60	  0.21	10.92	 0.06	 0.00	 0.00	 0.22
    1604	UGC06667   	DC14-LCDM   	 0.56	 0.14	 0.00	 0.00	 21.78	 2.04	88.9	 0.8	 67.55	  3.02	 19.04	  2.84	  4.86	    0.76	-1.90	  0.16	10.99	 0.06	 0.00	 0.00	 0.52
    1605	UGC06667   	coreNFW-Flat	 0.51	 0.13	 0.00	 0.00	 18.06	 2.51	89.0	 0.8	 52.30	  2.87	 38.18	  7.54	  1.88	    0.38	-0.69	  0.28	10.66	 0.07	 0.00	 0.00	 0.26
    1606	UGC06667   	coreNFW-LCDM	 0.54	 0.13	 0.00	 0.00	 23.09	 2.33	89.1	 0.8	 70.59	  4.98	 13.56	  4.12	  7.13	    2.23	-1.85	  0.42	11.05	 0.09	 0.00	 0.00	 3.44
    1607	UGC06667   	Lucky13-Flat	 0.50	 0.13	 0.00	 0.00	 18.16	 2.50	88.9	 0.8	 66.20	  4.00	 26.31	  3.54	  3.45	    0.51	-1.02	  0.21	10.97	 0.08	 0.00	 0.00	 0.48
    1608	UGC06667   	Lucky13-LCDM	 0.51	 0.12	 0.00	 0.00	 21.54	 2.15	89.0	 0.8	 69.12	  3.09	 22.14	  2.30	  4.28	    0.48	-1.21	  0.16	11.02	 0.06	 0.00	 0.00	 0.52
    1609	UGC06786   	pISO-Flat   	 0.35	 0.07	 0.78	 0.15	 24.06	 4.21	63.3	 2.9	225.38	  6.13	211.59	 77.98	  1.46	    0.54	-0.35	  0.51	12.56	 0.04	 0.00	 0.00	 0.69
    1610	UGC06786   	Burkert-Flat	 0.68	 0.09	 0.72	 0.10	 35.94	 4.52	64.4	 2.9	147.83	  6.18	 16.74	  2.28	 12.09	    1.72	-1.66	  0.20	12.01	 0.05	 0.00	 0.00	 2.26
    1611	UGC06786   	NFW-Flat    	 0.39	 0.07	 0.78	 0.14	 22.05	 3.91	63.5	 2.9	139.43	  8.24	 24.14	  5.30	  7.91	    1.80	-1.21	  0.31	11.94	 0.08	 0.00	 0.00	 0.69
    1612	UGC06786   	NFW-LCDM    	 0.40	 0.07	 0.61	 0.08	 31.19	 3.97	64.0	 3.0	155.45	  6.81	 15.07	  2.32	 14.13	    2.27	-1.74	  0.22	12.08	 0.06	 0.00	 0.00	 0.87
    1613	UGC06786   	Einasto-Flat	 0.38	 0.08	 0.73	 0.14	 17.77	 4.27	63.8	 2.9	139.43	 14.36	 27.78	  6.02	  6.87	    1.65	-1.70	  0.35	11.94	 0.13	 0.16	 0.04	 0.87
    1614	UGC06786   	Einasto-LCDM	 0.40	 0.07	 0.65	 0.11	 25.96	 3.88	63.7	 3.0	144.34	 13.18	 17.48	  2.91	 11.31	    2.15	-2.14	  0.28	11.98	 0.12	 0.21	 0.03	 0.87
    1615	UGC06786   	DC14-Flat   	 0.39	 0.07	 0.67	 0.10	 27.89	 3.41	63.4	 2.9	151.88	  6.73	 25.07	  4.55	  8.30	    1.55	-1.40	  0.19	12.05	 0.06	 0.00	 0.00	 0.84
    1616	UGC06786   	DC14-LCDM   	 0.39	 0.06	 0.55	 0.07	 35.11	 3.70	63.6	 3.0	165.52	  6.69	 16.60	  2.57	 13.66	    2.18	-1.80	  0.16	12.16	 0.05	 0.00	 0.00	 0.91
    1617	UGC06786   	coreNFW-Flat	 0.51	 0.07	 0.65	 0.09	 37.97	 4.44	64.0	 2.9	168.56	  7.12	  9.81	  1.28	 23.53	    3.23	-2.20	  0.19	12.18	 0.06	 0.00	 0.00	 1.79
    1618	UGC06786   	coreNFW-LCDM	 0.50	 0.07	 0.63	 0.08	 38.49	 4.08	65.3	 2.8	169.32	  6.66	  9.30	  1.09	 24.93	    3.07	-2.26	  0.17	12.19	 0.05	 0.00	 0.00	 1.78
    1619	UGC06786   	Lucky13-Flat	 0.37	 0.07	 0.88	 0.15	 25.07	 4.10	64.0	 3.1	135.32	  7.08	 45.76	  8.68	  4.05	    0.80	-0.40	  0.27	11.90	 0.07	 0.00	 0.00	 1.20
    1620	UGC06786   	Lucky13-LCDM	 0.41	 0.07	 0.63	 0.08	 38.00	 4.33	64.6	 2.9	153.35	  6.20	 25.64	  3.97	  8.19	    1.31	-1.05	  0.22	12.06	 0.05	 0.00	 0.00	 1.49
    1621	UGC06787   	pISO-Flat   	 0.90	 0.10	 0.19	 0.02	 47.17	 4.55	71.4	 2.6	320.97	 15.38	  8.36	  1.04	 52.59	    7.00	-3.08	  0.20	13.02	 0.06	 0.00	 0.00	18.09
    1622	UGC06787   	Burkert-Flat	 0.90	 0.12	 0.19	 0.02	 47.24	 4.77	70.6	 2.7	270.86	 12.62	  4.57	  0.53	 81.28	   10.17	-3.01	  0.18	12.80	 0.06	 0.00	 0.00	17.99
    1623	UGC06787   	NFW-Flat    	 0.90	 0.17	 0.24	 0.05	 39.25	 4.85	69.5	 2.8	417.93	 35.78	  1.00	  0.23	570.54	  139.28	-4.29	  0.36	13.37	 0.11	 0.00	 0.00	18.26
    1624	UGC06787   	NFW-LCDM    	 1.10	 0.14	 0.30	 0.04	 32.33	 3.45	68.5	 2.7	423.69	 35.28	  1.33	  0.22	437.52	   80.25	-4.08	  0.28	13.38	 0.11	 0.00	 0.00	18.57
    1625	UGC06787   	Einasto-Flat	 0.83	 0.09	 0.20	 0.02	 47.39	 4.33	70.7	 2.6	441.15	 43.11	  1.03	  0.34	585.31	  201.18	-4.86	  0.50	13.44	 0.13	 0.31	 0.07	18.57
    1626	UGC06787   	Einasto-LCDM	 1.07	 0.13	 0.25	 0.03	 37.39	 4.00	70.2	 2.7	400.56	 41.75	  1.92	  0.34	285.88	   58.63	-4.36	  0.31	13.31	 0.14	 0.39	 0.05	18.57
    1627	UGC06787   	DC14-Flat   	 0.81	 0.31	 0.19	 0.07	 48.15	 7.97	70.6	 2.7	371.47	 23.33	  2.69	  1.40	188.97	   98.90	-3.74	  0.52	13.21	 0.08	 0.00	 0.00	17.59
    1628	UGC06787   	DC14-LCDM   	 0.97	 0.16	 0.23	 0.04	 41.29	 4.84	69.9	 2.7	370.48	 19.91	  3.50	  0.75	144.96	   32.02	-3.54	  0.23	13.21	 0.07	 0.00	 0.00	17.87
    1629	UGC06787   	coreNFW-Flat	 0.90	 0.12	 0.25	 0.03	 39.47	 3.93	69.3	 2.8	417.17	 34.92	  1.00	  0.11	571.37	   77.62	-4.29	  0.22	13.36	 0.11	 0.00	 0.00	18.22
    1630	UGC06787   	coreNFW-LCDM	 1.08	 0.13	 0.30	 0.04	 32.62	 3.27	69.2	 2.8	411.41	 36.54	  1.35	  0.24	416.38	   81.47	-4.06	  0.29	13.35	 0.12	 0.00	 0.00	18.52
    1631	UGC06787   	Lucky13-Flat	 0.89	 0.10	 0.20	 0.02	 46.54	 4.52	70.8	 2.7	328.06	 20.33	  4.12	  0.49	108.97	   14.68	-2.86	  0.20	13.05	 0.08	 0.00	 0.00	17.86
    1632	UGC06787   	Lucky13-LCDM	 0.96	 0.11	 0.21	 0.02	 43.10	 3.91	70.9	 2.7	335.87	 21.70	  4.40	  0.49	104.55	   13.38	-2.81	  0.19	13.08	 0.08	 0.00	 0.00	17.99
    1633	UGC06818   	pISO-Flat   	 0.45	 0.10	 0.00	 0.00	 17.19	 2.40	75.2	 3.0	171.70	112.26	 29.00	  6.15	  8.11	    5.58	-2.06	  1.24	12.21	 0.85	 0.00	 0.00	 2.10
    1634	UGC06818   	Burkert-Flat	 0.45	 0.10	 0.00	 0.00	 17.25	 2.43	75.2	 3.0	135.97	126.81	 11.91	  2.01	 15.64	   14.82	-2.03	  1.73	11.90	 1.22	 0.00	 0.00	 2.18
    1635	UGC06818   	NFW-Flat    	 0.39	 0.08	 0.00	 0.00	 16.36	 2.51	75.0	 3.0	317.91	 85.90	  1.08	  0.89	402.13	  349.08	-4.23	  1.27	13.01	 0.35	 0.00	 0.00	 5.89
    1636	UGC06818   	NFW-LCDM    	 0.41	 0.09	 0.00	 0.00	 15.99	 2.16	74.8	 3.0	 62.69	  3.75	  6.89	  1.24	 12.46	    2.37	-2.57	  0.26	10.89	 0.08	 0.00	 0.00	 9.52
    1637	UGC06818   	Einasto-Flat	 0.44	 0.10	 0.00	 0.00	 18.14	 2.42	74.5	 3.0	 53.37	134.20	  6.95	  1.17	 10.52	   26.51	-2.56	  4.64	10.69	 3.28	 1.97	 0.46	 9.52
    1638	UGC06818   	Einasto-LCDM	 0.42	 0.09	 0.00	 0.00	 14.85	 2.42	74.1	 3.1	 61.89	  4.35	  7.61	  1.18	 11.13	    1.90	-2.85	  0.26	10.88	 0.09	 0.51	 0.14	 9.52
    1639	UGC06818   	DC14-Flat   	 0.43	 0.09	 0.00	 0.00	 17.25	 2.45	74.9	 3.0	101.80	 32.60	 15.45	  3.66	  9.03	    3.60	-2.19	  0.57	11.53	 0.42	 0.00	 0.00	 2.25
    1640	UGC06818   	DC14-LCDM   	 0.43	 0.09	 0.00	 0.00	 18.89	 2.01	75.1	 3.0	 67.06	  4.12	 13.53	  2.21	  6.79	    1.19	-2.29	  0.19	10.98	 0.08	 0.00	 0.00	 4.15
    1641	UGC06818   	coreNFW-Flat	 0.39	 0.09	 0.00	 0.00	 16.02	 2.64	74.8	 3.0	157.94	 90.91	  2.71	  3.20	 79.74	  104.61	-3.47	  1.92	12.10	 0.75	 0.00	 0.00	 5.19
    1642	UGC06818   	coreNFW-LCDM	 0.40	 0.09	 0.00	 0.00	 15.16	 2.08	75.0	 3.0	 60.94	  3.60	  9.08	  1.83	  9.19	    1.93	-2.28	  0.29	10.86	 0.08	 0.00	 0.00	 5.69
    1643	UGC06818   	Lucky13-Flat	 0.44	 0.09	 0.00	 0.00	 17.24	 2.42	74.7	 3.0	266.28	115.04	 10.24	  1.92	 35.64	   16.78	-2.01	  0.83	12.78	 0.56	 0.00	 0.00	 2.20
    1644	UGC06818   	Lucky13-LCDM	 0.45	 0.09	 0.00	 0.00	 19.51	 2.16	75.7	 2.9	 68.05	  4.21	 13.16	  1.99	  7.08	    1.16	-1.76	  0.23	11.00	 0.08	 0.00	 0.00	 5.36
    1645	UGC06917   	pISO-Flat   	 0.48	 0.12	 0.00	 0.00	 18.02	 2.49	55.7	 2.0	111.64	  6.18	 75.26	 19.71	  2.03	    0.54	-1.24	  0.37	11.65	 0.07	 0.00	 0.00	 0.39
    1646	UGC06917   	Burkert-Flat	 0.48	 0.12	 0.00	 0.00	 17.96	 2.46	55.9	 2.0	 63.77	  3.71	 24.54	  4.15	  3.56	    0.64	-1.23	  0.25	10.92	 0.08	 0.00	 0.00	 0.29
    1647	UGC06917   	NFW-Flat    	 0.48	 0.12	 0.00	 0.00	 17.59	 2.51	55.7	 2.0	 99.76	 37.69	  8.18	  2.57	 16.70	    8.20	-2.39	  0.81	11.50	 0.49	 0.00	 0.00	 1.17
    1648	UGC06917   	NFW-LCDM    	 0.51	 0.10	 0.00	 0.00	 19.04	 2.14	56.4	 1.9	 86.95	  5.49	  8.79	  1.57	 13.55	    2.56	-2.32	  0.26	11.32	 0.08	 0.00	 0.00	 1.50
    1649	UGC06917   	Einasto-Flat	 0.49	 0.12	 0.00	 0.00	 18.19	 2.48	55.8	 2.0	 46.58	 24.10	 11.33	  2.29	  5.63	    3.13	-2.17	  1.00	10.51	 0.67	 0.82	 0.40	 1.50
    1650	UGC06917   	Einasto-LCDM	 0.48	 0.11	 0.00	 0.00	 16.38	 2.32	55.7	 2.0	 79.08	  6.02	 10.25	  1.65	 10.57	    1.88	-2.65	  0.26	11.20	 0.10	 0.29	 0.04	 1.50
    1651	UGC06917   	DC14-Flat   	 0.45	 0.11	 0.00	 0.00	 16.84	 2.43	55.8	 2.0	 78.61	  6.45	 20.73	  5.94	  5.20	    1.55	-1.74	  0.31	11.19	 0.11	 0.00	 0.00	 0.59
    1652	UGC06917   	DC14-LCDM   	 0.55	 0.11	 0.00	 0.00	 19.88	 1.94	56.2	 1.9	 86.70	  5.53	 13.07	  2.67	  9.08	    1.94	-2.17	  0.22	11.32	 0.08	 0.00	 0.00	 0.98
    1653	UGC06917   	coreNFW-Flat	 0.48	 0.12	 0.00	 0.00	 17.50	 2.50	56.0	 2.0	 59.52	  4.41	 44.56	 13.60	  1.83	    0.57	-0.51	  0.42	10.83	 0.10	 0.00	 0.00	 0.43
    1654	UGC06917   	coreNFW-LCDM	 0.69	 0.12	 0.00	 0.00	 20.70	 1.92	56.6	 1.9	 90.01	  5.59	  8.47	  1.69	 14.56	    3.05	-2.35	  0.29	11.37	 0.08	 0.00	 0.00	 1.34
    1655	UGC06917   	Lucky13-Flat	 0.49	 0.11	 0.00	 0.00	 17.52	 2.47	55.8	 2.0	 74.88	  5.64	 27.17	  5.14	  3.78	    0.77	-0.98	  0.29	11.13	 0.10	 0.00	 0.00	 0.47
    1656	UGC06917   	Lucky13-LCDM	 0.64	 0.15	 0.00	 0.00	 21.51	 2.07	56.6	 1.9	 88.74	  7.07	 16.17	  3.26	  7.52	    1.63	-1.54	  0.30	11.35	 0.10	 0.00	 0.00	 1.07
    1657	UGC06923   	pISO-Flat   	 0.48	 0.12	 0.00	 0.00	 17.82	 2.55	64.9	 2.0	 95.68	 82.20	 61.90	 32.02	  2.12	    2.12	-1.41	  1.74	11.45	 1.12	 0.00	 0.00	 1.97
    1658	UGC06923   	Burkert-Flat	 0.50	 0.12	 0.00	 0.00	 17.72	 2.49	64.9	 2.0	 52.25	108.85	 22.23	  6.45	  3.22	    6.77	-1.34	  3.86	10.66	 2.71	 0.00	 0.00	 1.90
    1659	UGC06923   	NFW-Flat    	 0.48	 0.10	 0.00	 0.00	 17.77	 2.42	64.9	 2.0	173.05	122.16	  3.50	  3.37	 67.80	   80.96	-3.24	  1.84	12.22	 0.92	 0.00	 0.00	 3.70
    1660	UGC06923   	NFW-LCDM    	 0.47	 0.10	 0.00	 0.00	 17.82	 2.08	65.1	 2.0	 70.89	  4.42	  8.84	  1.71	 10.98	    2.24	-2.31	  0.28	11.06	 0.08	 0.00	 0.00	 4.67
    1661	UGC06923   	Einasto-Flat	 0.45	 0.12	 0.00	 0.00	 18.20	 2.44	65.0	 2.0	 28.72	127.70	 11.12	  3.27	  3.54	   15.77	-1.98	  8.20	 9.88	 5.79	 1.77	 0.53	 4.67
    1662	UGC06923   	Einasto-LCDM	 0.43	 0.10	 0.00	 0.00	 16.48	 2.24	64.3	 2.0	 68.16	  4.64	  9.60	  1.86	  9.72	    2.00	-2.80	  0.29	11.00	 0.09	 0.23	 0.07	 4.67
    1663	UGC06923   	DC14-Flat   	 0.47	 0.12	 0.00	 0.00	 17.71	 2.52	65.1	 2.0	 67.60	112.67	 18.91	  7.90	  4.90	    8.42	-1.88	  2.74	10.99	 2.17	 0.00	 0.00	 2.55
    1664	UGC06923   	DC14-LCDM   	 0.55	 0.11	 0.00	 0.00	 20.40	 1.93	65.4	 2.0	 74.01	  4.99	 12.62	  2.58	  8.03	    1.73	-2.28	  0.23	11.11	 0.09	 0.00	 0.00	 3.80
    1665	UGC06923   	coreNFW-Flat	 0.48	 0.10	 0.00	 0.00	 17.79	 2.40	64.6	 2.0	 55.64	 98.48	 14.80	 13.49	  5.15	   10.25	-1.76	  3.48	10.74	 2.31	 0.00	 0.00	 2.04
