#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T10:45:39 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T10:45:39	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/ApJS/217/32/cvrhs&-out=Name,P1T,P2T,%3CT%3E,%3CF%3E,%3CType%3E,AC,_RA,_DE&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22170032
#Name: J/ApJS/217/32
#Title: S4G galaxy morphologies in the CVRHS system (Buta+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/apjs/217/32	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/217/32	    IVOID of underlying data collection
#INFO	creator=Buta R.J.	    First author or institution
#INFO	cites=bibcode:2015ApJS..217...32B	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/217/32	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22170032	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-27	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_217_32_cvrhs:
#Name: J/ApJS/217/32/cvrhs
#Title: CVRHS (Comprehensive de Vaucouleurs  revised Hubble-Sandage) classifications for 2412  S^4^G galaxies, plus arm classification
#Column	Name	(A10)	Galaxy identifier (G1)	[ucd=meta.id;meta.main]
#Column	P1T	(a45)	Phase 1 type (1)	[ucd=src.morph.type]
#Column	P2T	(a45)	Phase 2 type (1)	[ucd=src.morph.type]
#Column	<T>	(F4.1)	[-5/11]? Unweighted average numerical T index (3)	[ucd=src.morph.type]
#Column	<F>	(F5.2)	[0/1]? Unweighted average numerical F index (3)	[ucd=src.morph.type]
#Column	<Type>	(a57)	Unweighted average classification type (3)	[ucd=src.morph.type]
#Column	AC	(A1)	[FGM] Arm class (4)	[ucd=meta.code;src.morph]
#Column	_RA	(F9.5)	Positions from SIMBAD (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from SIMBAD (declination part)	[ucd=pos.eq.dec;meta.main]
Name	P1T	P2T	<T>	<F>	<Type>	AC	_RA	_DE
ESO 576-5 	SBd: sp                                      	Scd: sp / E7:                                	 6.5	 1.00	SB:c\underline{d}: sp / E7:                              	 	197.82500	-19.82889
NGC 5014  	S0^o^ sp                                     	S0^-^[c]sp / E(d)7                           	-2.5	     	S0^{-/o}^[c] sp / E(d)7                                  	 	197.87999	+36.28212
NGC 5012  	SA(s)bc                                      	SA(r\underline{s})b                          	 3.5	 0.00	SA(s)\underline{b}c                                      	M	197.90440	+22.91547
PGC 45824 	SB(s)m                                       	SAB(s)m                                      	 9.0	 0.75	SA\underline{B}(s)m                                      	F	197.99250	-12.06417
NGC 5016  	S\underline{A}B(\underline{r}s)c             	S\underline{A}B(\underline{r}s)bc            	 4.5	 0.25	S\underline{A}B(\underline{r}s)b\underline{c}            	M	198.02786	+24.09505
IC 4213   	SB(s)m sp                                    	SB(s)dm sp                                   	 8.5	 1.00	SB(s)d\underline{m} sp                                   	 	198.04674	+35.66965
NGC 5023  	Sd sp                                        	Sd sp                                        	 7.0	     	Sd sp                                                    	 	198.04916	+44.03802
ESO 576-8 	SB_aa: sp                                    	SB_a(s)0/a: sp                               	 0.5	 1.00	SB_a_(s:)0/\underline{a}: sp                             	 	198.07877	-19.44605
PGC 45877 	SB(s)cd                                      	SA\underline{B}(s)d                          	 6.5	 0.88	SB(s)c\underline{d}                                      	M	198.14765	-17.54239
NGC 5018  	SAB0^-^ (shells) pec                         	E2-3 pec (shells, tidal debris)              	-4.0	     	E^+^ pec                                                 	 	198.25417	-19.51830
ESO 576-11	SA(s:)c sp                                   	SA(s)c sp                                    	 5.0	 0.00	SA(s)c: sp                                               	 	198.27129	-19.97691
UGC 8303  	IAm                                          	IA(s)m                                       	10.0	 0.00	IA(s:)m                                                  	 	198.32454	+36.21422
NGC 5033  	(R')SA(rs)c                                  	SA(rs)cd                                     	 5.5	 0.00	(R')SA(rs)\underline{c}d                                 	M	198.36473	+36.59365
NGC 5022  	Sab sp                                       	SB_ax_(s)b: sp                               	 2.5	 1.00	SB:_{ax}_(s:)a\underline{b}:sp                           	 	198.37827	-19.54660
PGC 45958 	SA(s)c                                       	SA(\underline{r}s)c                          	 5.0	 0.00	SA(rs)c                                                  	M	198.39305	-15.43206
UGC 8313  	dIm / Sph sp                                 	dIm / Sph sp                                 	10.0	     	dIm / Sph sp                                             	 	198.47437	+42.20858
UGC 8320  	dIB(s)m                                      	dIm / Sph                                    	10.0	 1.00	dIm / Sph                                                	 	198.61608	+45.91994
ESO 508-30	SBm: sp                                      	Im sp                                        	 9.5	 1.00	S/IB:m: sp                                               	 	198.72792	-23.14583
ESO 576-17	SA(s)c                                       	SA(s)c                                       	 5.0	 0.00	SA(s)c                                                   	F	198.80325	-17.96685
ESO 443-85	SB(s)d                                       	SB(s)d                                       	 7.0	 1.00	SB(s)d                                                   	M	198.80910	-32.25391
NGC 5042  	SAB(s)cd                                     	SAB(s)cd                                     	 6.0	 0.50	SAB(s)cd                                                 	F	198.88043	-23.98239
UGC 8331  	dIm                                          	dIm                                          	10.0	     	dIm                                                      	 	198.87450	+47.49961
NGC 5055  	SA(rs,rl)bc                                  	SA(rs,rl)bc                                  	 4.0	 0.00	SA(rs,rl)bc                                              	M	198.95554	+42.02929
ESO 508-34	Sph(AB)                                      	SABdm:                                       	 8.0	 0.50	SABdm:                                                   	 	199.23883	-25.33708
NGC 5054  	(R')SA(s,nr)bc                               	SA(s,nr)bc                                   	 4.0	 0.00	(R')SA(s,nr)bc                                           	M	199.24370	-16.63485
IC 4216   	SB(r'l=R_2_')d                               	SA\underline{B}(s)d                          	 7.0	 0.88	SB(rs)d                                                  	M	199.25784	-10.77003
PGC 46261 	Scd sp                                       	Sc sp / E(d)8                                	 5.5	     	S\underline{c}d sp / E(d)8                               	 	199.27550	-16.25217
IC 863    	(R')SB(rs)b                                  	SB(rs)b                                      	 3.0	 1.00	(R')SB(rs)b                                              	M	199.30164	-17.25451
IC 4214   	(R_1_)S\underline{A}B_a(r'l,nr,nb)0/a        	(R_1_) SA(\underline{r}s,nr,nb)0/a           	 0.0	 0.12	(R_1_)SA(\underline{r}s,nr,nb)0/a                        	 	199.42782	-32.10171
UGC 8365  	IBm                                          	SB(s)m                                       	 9.5	 1.00	S/IB(s:)m                                                	 	199.68715	+41.94978
IC 4221   	SB(\underline{r}s)dm                         	SA\underline{B}(rs)d                         	 7.5	 0.88	SB(rs)\underline{d}m                                     	M	199.62645	-14.60886
ESO 576-26	Sd sp                                        	Sd sp / E(d)8                                	 7.0	     	Sd sp / E(d)8                                            	 	199.64465	-21.29978
PGC 46382 	IAB(s)m                                      	IA(s)m                                       	10.0	 0.25	I\underline{A}B(s)m                                      	 	199.67125	-08.44639
NGC 5068  	SB(r\underline{s})d                          	SB(s)d                                       	 7.0	 1.00	SB(s)d                                                   	F	199.72836	-21.03910
NGC 5073  	SB_x0/a sp                                   	SAB_xa_0/a sp                                	 0.0	 0.75	SA\underline{B}_{xa}_0/asp                               	 	199.83595	-14.84452
NGC 5077  	E^+^2                                        	E1-2                                         	-4.5	     	E/E^+^2                                                  	 	199.88196	-12.65697
NGC 5079  	(R')SAB(s)b                                  	SA(s)c pec                                   	 4.0	 0.25	(R')S\underline{A}B(s)bc pec                             	F	199.90855	-12.69896
IC 879    	SB(s)0/a: pec                                	SB(s)a [d] pec                               	 0.5	 1.00	SB(s)0/\underline{a}[d]:                                 	 	199.91900	-27.42897
ESO 576-31	E4                                           	SA0^-^                                       	-4.0	     	E^+^4                                                    	 	199.94690	-21.89992
NGC 5078  	S(r)b sp / E(d)5                             	Sb sp / E5                                   	 3.0	     	S(r:)b sp / E5                                           	 	199.95843	-27.41008
ESO 576-32	SB(rs)c                                      	SB(rs)c pec                                  	 5.0	 1.00	SB(rs)c pec                                              	F	199.96665	-22.27881
UGC 8385  	SB(s)m                                       	SAB(s)dm                                     	 8.5	 0.75	SA\underline{B}(s)d\underline{m}                         	F	200.15917	+09.78742
NGC 5084  	S0/a sp                                      	SA(l)0/a spw / E2                            	 0.0	 0.00	SA:(l:)0/a spw / E2                                      	 	200.07051	-21.82758
NGC 5085  	SA(rs)bc                                     	SA(\underline{r}s)bc                         	 4.0	 0.00	SA(rs)bc                                                 	M	200.07375	-24.44028
NGC 5088  	(R)SA\underline{B}d                          	(R')S\underline{A}Bd:                        	 7.0	 0.50	(R')SABd:                                                	F	200.08432	-12.57181
ESO 508-51	S\underline{A}B(s)d                          	(R'L)SAd:                                    	 7.0	 0.12	(R'L)SA(s:)d:                                            	F	200.12417	-26.08528
NGC 5103  	S0^-^ sp/ E(d)2                              	S0^-^ sp/ E(d)1-2                            	-3.0	     	S0^-^ sp / E(d)1-2                                       	 	200.12523	+43.08401
ESO 576-40	SB(s)dm sp                                   	SB(s)dm sp                                   	 8.0	 1.00	SB(s)dm sp                                               	 	200.18227	-22.05109
NGC 5109  	SB(s)dm:                                     	Im sp                                        	 9.0	 1.00	SB:(s:)m: sp                                             	F	200.21810	+57.64474
NGC 5107  	IBm sp                                       	SB(s)m sp                                    	 9.5	 1.00	S/IB(s:)m sp                                             	 	200.35529	+38.53638
NGC 5101  	(R_1_R_2_')SB(\underline{r}s,nl?)0/a         	(R_2_,R_1_')SB(\underline{r}s,bl)0/a         	 0.0	 1.00	(R_1_R_2_')SB(\underline{r}s,bl)0/a                      	 	200.44267	-27.43052
NGC 5105  	SAB(r\underline{s})cd                        	S\underline{A}B(s)cd                         	 6.0	 0.38	SAB(s)cd                                                 	F	200.45459	-13.20679
NGC 5112  	SB(r\underline{s})cd                         	SB(s)d                                       	 6.5	 1.00	SB(s)c\underline{d}                                      	M	200.48543	+38.73451
NGC 5116  	SB(s)b                                       	SAB(s)b                                      	 3.0	 0.75	SA\underline{B}(s)b                                      	G	200.73182	+26.98070
NGC 5117  	(R')SAB(s)d                                  	(R')SAB(s)cd                                 	 6.5	 0.50	(R')SAB(s)c\underline{d}                                 	F	200.73526	+28.31653
IC 4231   	SB(s)m sp                                    	Scd sp                                       	 7.5	 1.00	SB:(s:)\underline{d}m sp                                 	 	200.80583	-26.30056
NGC 5122  	S0^-^ sp+ PR sp                              	S0^-^ (PR)sp                                 	-3.0	     	S0^-^ sp + PR sp                                         	 	201.06227	-10.65435
IC 4237   	SB_x(r)b                                     	SB(\underline{r}s)b                          	 3.0	 1.00	SB_x_(r)b                                                	M	201.13650	-21.13680
ESO 576-50	SB(r\underline{s})cd                         	SB(rs)d pec                                  	 6.5	 1.00	SB(rs)c\underline{d} pec                                 	M	201.17416	-19.69595
UGC 8441  	IAm                                          	I\underline{A}B(s)m                          	10.0	 0.12	IA(s:)m                                                  	 	201.37187	+57.82161
NGC 5145  	SA(r,nl)0^+^                                 	(R:)SA(r,nl)0^+^                             	-1.0	 0.00	(R:)SA(r,nl)0^+^                                         	 	201.30795	+43.26718
NGC 5134  	(R)SA\underline{B}(rs)0/a                    	(R)SAB(rs,bl)ab                              	 1.0	 0.62	(R)SAB(rs,bl)a                                           	 	201.32735	-21.13417
ESO 444-33	SB(s)m: sp                                   	S\underline{A}B(s)m sp                       	 9.0	 0.62	SAB(s)m: sp                                              	 	201.51779	-32.12947
UGC 8449  	SAB(s)dm: sp                                 	SAB(s)dm:                                    	 8.0	 0.50	SAB(s)dm: sp                                             	F	201.65258	+42.76392
NGC 5147  	(R')SB(s)c                                   	(R')SA\underline{B}(s)cd                     	 5.5	 0.88	(R')SB(s)\underline{c}d                                  	F	201.58211	+02.10076
ESO 576-59	SAB(s)m                                      	SAB(s)m:                                     	 9.0	 0.50	SAB(s)m:                                                 	F	201.64833	-22.23750
IC 4247   	dIm / Sph                                    	dIm                                          	10.0	     	dIm                                                      	 	201.68512	-30.36244
ESO 444-37	IB(s)m:                                      	SA\underline{B}(s)m sp                       	 9.5	 0.88	S/IB(s)m: sp                                             	 	201.75192	-30.07442
NGC 5169  	SAB(s)c                                      	SAB(s)c                                      	 5.0	 0.50	SAB(s)c                                                  	M	202.04181	+46.67214
ESO 509-26	Im:                                          	Sm:                                          	 9.5	     	S/Im:                                                    	G	202.10258	-27.57031
NGC 5173  	E^+^1                                        	E^+^1pec                                     	-4.0	     	E^+^1 pec                                                	 	202.10530	+46.59157
IC 4263   	SB(s)d sp                                    	SB(s)d sp                                    	 7.0	 1.00	SB(s)d sp                                                	 	202.13971	+46.92730
NGC 5204  	SA(s)m                                       	SA(s)m (dS0) / Sph                           	 9.0	 0.00	SA(s)m / Sph                                             	F	202.40212	+58.41873
UGC 8489  	SB(s)m                                       	SB(s)dm                                      	 8.5	 1.00	SB(s)d\underline{m}                                      	F	202.41225	+45.38764
NGC 5170  	(R')SAB_x(l)0/a sp                           	(R)SAB_x(rl)0/a sp                           	 0.0	 0.50	(R')SAB_x_(r\underline{l})0/a sp                         	 	202.45346	-17.96649
NGC 5194  	S\underline{A}B(rs,nr')bc                    	S\underline{A}B(rs,rs)bc                     	 4.0	 0.25	S\underline{A}B(rs,rs)bc                                 	G	202.46957	+47.19526
NGC 5195  	SAB(r)0/a                                    	S\underline{A}B(\underline{r}s)0^+^          	-0.5	 0.38	SAB(r)\underline{0}/a                                    	 	202.49829	+47.26613
NGC 5205  	SB(rs)ab                                     	SA\underline{B}(r\underline{s})ab            	 2.0	 0.88	SB(rs)ab                                                 	G	202.51538	+62.51153
UGC 8508  	dIm/dE / Sph                                 	dSph / dIm                                   	10.0	     	dIm / Sph                                                	 	202.68467	+54.91100
UGC 8507  	IAB(s)m                                      	IAB(s)m / Sph                                	10.0	 0.50	IAB(s)m / Sph                                            	 	202.74475	+19.43661
UGC 8516  	SA(s)c:                                      	SA(s)cd                                      	 5.5	 0.00	SA(s)\underline{c}d:                                     	F	202.96915	+20.00118
NGC 5216  	E0(shell?) pec                               	E0-1                                         	-5.0	     	E pec                                                    	 	203.02846	+62.70082
NGC 5218  	SB(rs)a pec                                  	SB(r\underline{s})a pec (shells?)            	 1.0	 1.00	SB(rs)a pec                                              	M	203.04342	+62.76777
PGC 47717 	SA(s)bc                                      	SA(s)bc                                      	 4.0	 0.00	SA(s)bc                                                  	 	203.30165	-16.13934
PGC 47721 	SA(\underline{r}s,r,r)ab                     	(R,R')SA(s)a                                 	 1.5	 0.00	(R,R')SA(s)\underline{a}b                                	M	203.30801	-16.12129
NGC 5229  	Sdm: sp                                      	Sm sp                                        	 8.5	     	Sd\underline{m}: sp                                      	 	203.51180	+47.91547
PGC 47846 	dIBm                                         	dIm / Sph                                    	10.0	 1.00	dIm / Sph                                                	 	203.66542	-12.33056
NGC 5238  	dE3 ,N /Sph ,N                               	dIm / dE3-4 / Sph                            	10.0	     	dIm / dE3-4 / Sph                                        	 	203.68250	+51.60917
UGC 8575  	Sdm sp                                       	Sd sp                                        	 7.5	     	S\underline{d}m sp                                       	 	203.94008	+08.96932
ESO 509-74	S(nd or nr)bc sp                             	SA(rs:,nd)b sp                               	 3.5	     	S(rs:,nd)\underline{b}c                                  	M	203.92236	-24.07384
UGC 8588  	SAB(s)m                                      	(R'L)SA(s)dm                                 	 8.5	 0.25	(R'L)S\underline{A}B(s)d\underline{m}                    	F	203.92837	+45.92969
NGC 5240  	SAB(s)b                                      	SAB(s)b                                      	 3.0	 0.50	SAB(s)b                                                  	M	203.98010	+35.58827
IC 902    	SB(s)d sp                                    	SB(s)d sp                                    	 7.0	 1.00	SB(s)d sp                                                	 	204.00505	+49.96072
UGC 8597  	SB(s)dm                                      	SB(r\underline{s})dm                         	 8.0	 1.00	SB(s)dm                                                  	F	204.06546	+46.20002
ESO 444-78	dIm                                          	dIm                                          	10.0	     	dIm                                                      	 	204.12962	-29.23489
NGC 5236  	SAB(s,nr)c                                   	SAB(s,nr)c                                   	 5.0	 0.50	SAB(s,nr)c                                               	M	204.25383	-29.86576
PGC 48087 	S\underline{A}B(s)c                          	S\underline{A}B(s)c                          	 5.0	 0.25	S\underline{A}B(s)c                                      	M	204.27040	-11.82990
UGC 8614  	IB(s)m                                       	IAB(s)m                                      	10.0	 0.75	IA\underline{B}(s)m                                      	 	204.35937	+07.64517
NGC 5248  	(R')SAB(s,nr)b\underline{c}                  	S\underline{A}B(s,nr)bc                      	 4.2	 0.38	(R')SAB(s,nr)bc                                          	G	204.38362	+08.88506
NGC 5247  	SA(r)c                                       	SA(rs)c                                      	 5.0	 0.00	SA(\underline{r}s)c                                      	G	204.51267	-17.88403
UGC 8629  	Im: sp                                       	dIm sp                                       	10.0	     	Im: sp                                                   	 	204.62821	+08.44253
UGC 8639  	SA(s)m                                       	IA(s)m                                       	 9.5	 0.00	S/IA(s)m                                                 	 	204.74925	+51.43494
PGC 48179 	SB(r\underline{s})cd                         	SA\underline{B}(r\underline{s})cd            	 6.0	 0.88	SB(r\underline{s})cd                                     	F	204.54292	-09.80139
UGC 8630  	SB(s)m sp                                    	SB(s)m sp pec                                	 9.0	 1.00	SB(s)m sp pec                                            	 	204.60942	+33.11683
UGC 8642  	SB(s)m sp                                    	SB(s)m sp                                    	 9.0	 1.00	SB(s)m sp                                                	 	204.86996	+46.01544
NGC 5254  	SA(s,nd)bc                                   	SA(s)bc                                      	 4.0	 0.00	SA(s)bc                                                  	M	204.90793	-11.49388
UGC 8651  	dIm                                          	dIm                                          	10.0	     	dIm                                                      	 	204.97396	+40.74036
NGC 5253  	dE5-6 ,N /Sph ,N                             	dSA0^-^                                      	11.0	     	dSA0^-^                                                  	 	204.98329	-31.64003
IC 4316   	dE4/dI                                       	dIm / Sph                                    	11.0	     	dE4 (dIm) / Sph                                          	 	205.07712	-28.89147
UGC 8658  	S\underline{A}B(s)bc                         	SA(s)bc                                      	 4.0	 0.12	SA(s)bc                                                  	G	205.16629	+54.33300
UGC 8662  	Sm: sp                                       	Im sp                                        	 9.5	     	S/Im: sp                                                 	 	205.32371	+33.77261
NGC 5264  	dE2: /Sph                                    	dS\underline{A}B0^o^ / S\underline{A}Bm / Sph	11.0	     	dS0: (I\underline{A}Bm) / Sph                            	 	205.40285	-29.91312
NGC 5273  	SA(l,s)0^-^                                  	SA(s)0^o^                                    	-2.5	 0.00	SA(l,s)0^{-/o}^                                          	 	205.53494	+35.65424
UGC 8684  	SB(s)bc: sp                                  	Sc sp                                        	 4.5	 1.00	SB:(s:)b\underline{c}: sp                                	 	205.56632	+60.77677
UGC 8688  	IB(s)m                                       	IAB(s)m                                      	10.0	 0.75	IA\underline{B}(s)m                                      	 	205.87679	+43.46317
UGC 8693  	SB(s)dm sp                                   	SAB(s)m sp                                   	 8.5	 0.75	SA\underline{B}(s)d\underline{m} sp                      	 	206.11839	+35.19230
NGC 5289  	(R')SA(rl)0/a sp                             	(R')SA(rl)0/a                                	 0.0	 0.00	(R')SA(rl)0/a sp                                         	G	206.28612	+41.50330
NGC 5290  	Sa sp                                        	SAB(s)0/a sp                                 	 0.5	 0.50	SAB:(s:)0/\underline{a} sp                               	 	206.32971	+41.71234
NGC 5296  	E4(twist)                                    	SA0^o^:                                      	-3.5	 0.00	E^+^4/SA0^-^:                                            	 	206.57783	+43.85129
NGC 5297  	SAB_x(s)bc                                   	SAB_x(s)bc sp                                	 4.0	 0.50	SAB_x_(s)bc sp                                           	M	206.59872	+43.87204
NGC 5301  	SA(s)cd sp                                   	SA(s)d sp                                    	 6.5	 0.00	SA(s)c\underline{d} sp                                   	 	206.60254	+46.10741
UGC 8726  	Sm: sp                                       	Sd: sp                                       	 8.0	     	Sdm: sp                                                  	 	206.95562	+40.48658
UGC 8737  	Sbc sp                                       	Sc sp / E(d)7-8                              	 4.5	     	Sb\underline{c} sp / E(d)7-8                             	 	207.06961	+68.08501
NGC 5300  	S\underline{A}B(r\underline{s})c             	S\underline{A}B(s)c                          	 5.0	 0.25	S\underline{A}B(s)c                                      	F	207.06702	+03.95090
ESO 577-38	Sd: sp                                       	dIm sp                                       	 8.5	     	Sd\underline{m}: sp                                      	 	207.10667	-18.87222
UGC 8733  	SB(s)m                                       	SAB(r\underline{s})d pec                     	 8.0	 0.75	SA\underline{B}(s)dm pec                                 	F	207.16300	+43.41242
NGC 5311  	(L)S\underline{A}B(l,nl)0^-^                 	SA(l)0^-^                                    	-3.0	 0.12	(L)SA(l,nl)0^-^                                          	 	207.23358	+39.98524
NGC 5313  	SA(r)b                                       	SA(r)b                                       	 3.0	 0.00	SA(r)b                                                   	M	207.43481	+39.98460
NGC 5304  	E1-2                                         	E2                                           	-5.0	     	E2                                                       	 	207.50612	-30.57851
NGC 5320  	SA(r'l)bc                                    	SA(s)c                                       	 4.5	 0.00	SA(s)b\underline{c}                                      	M	207.58492	+41.36634
UGC 8756  	S\underline{A}B(l)0/a sp                     	S\underline{A}B(l)a                          	 0.5	 0.25	S\underline{A}B(l)0/\underline{a} sp                     	 	207.64966	+42.54144
NGC 5326  	E(d)5/S0^-^ sp                               	E(d)5                                        	-5.0	     	E^+^(d)5                                                 	 	207.71130	+39.57491
UGC 8760  	dIm sp / Sph                                 	dIm sp                                       	10.0	     	dIm sp / Sph                                             	 	207.71129	+38.01778
NGC 5336  	SAB(rs)c                                     	S\underline{A}B(rs)c                         	 5.0	 0.38	SAB(rs)c                                                 	M	208.04060	+43.24278
NGC 5337  	SB(rs)0/a                                    	SB(\underline{r}s,bl)0/a                     	 0.0	 1.00	SB(rs,bl)0/a                                             	 	208.09601	+39.68722
UGC 8795  	SA\underline{B}(s)d                          	SAB(s)cd                                     	 6.5	 0.62	SAB(s)c\underline{d}                                     	G	208.20189	+37.49081
NGC 5334  	SB(rs,x_1_r)cd                               	SB(rs,x_1_r)cd                               	 6.0	 1.00	SB(rs,x_1_r)cd                                           	F	208.22696	-01.11476
NGC 5346  	SA(s:)b                                      	SA(s)cd                                      	 4.5	 0.00	SA(s)b\underline{c}:                                     	F	208.25800	+39.58052
NGC 5347  	SB(\underline{r}s)a                          	SA\underline{B}(rs,bl)a                      	 1.0	 0.88	SB(rs,bl)a                                               	G	208.32439	+33.49076
NGC 5350  	SB(\underline{r}s)a\underline{b}             	SB(\underline{r}s)b                          	 2.7	 1.00	SB(\underline{r}s)a\underline{b}                         	G	208.33993	+40.36396
NGC 5338  	SB(\underline{r}s)0^o^                       	SAB(r'l)0^o^                                 	-2.0	 0.75	SA\underline{B}(r'l)0^o^                                 	 	208.36052	+05.20778
NGC 5354  	E^+^1                                        	E0                                           	-4.5	     	E/E^+^0-1                                                	 	208.36167	+40.30286
NGC 5353  	SB_x0^+^ sp                                  	SB_xa_0^+^                                   	-1.0	 1.00	SB_{xa}_0^+^sp                                           	 	208.36142	+40.28312
NGC 5355  	SAB(s)0^o^                                   	E4 (twists) pec                              	-3.5	 0.50	E^+^4/SAB0^-^ pec                                        	 	208.43985	+40.33879
NGC 5339  	SB(rs)ab                                     	SAB(rs,bl)ab                                 	 2.0	 0.75	SA\underline{B}(rs,bl)ab                                 	G	208.50116	-07.93062
NGC 5358  	S0^o^                                        	S\underline{A}B(s)0^-^                       	-2.5	 0.25	S\underline{A}B:(s:)0^{-/o}^                             	 	208.50180	+40.27742
NGC 5348  	SBd sp                                       	SAB(s)d sp                                   	 7.0	 0.75	SA\underline{B}(s:)d sp                                  	 	208.54689	+05.22720
NGC 5452  	SA(s)bc                                      	SA(s)c                                       	 4.5	 0.00	SA(s)b\underline{c}                                      	G	208.60267	+78.22092
UGC 8837  	dIm                                          	SAB(s)m sp                                   	 9.5	 0.50	S/IAB:(s:)m sp                                           	 	208.69067	+53.90075
NGC 5362  	SB(s)bc pec                                  	SA\underline{B}(s)bc                         	 4.0	 0.88	SB(s)bc pec                                              	M	208.72207	+41.31353
NGC 5356  	Sbc sp                                       	SA(s)c sp                                    	 4.5	 0.00	SA:(s:)b\underline{c} sp                                 	 	208.74342	+05.33361
UGC 8839  	Im /Sph ,N                                   	Im                                           	10.0	     	Im                                                       	 	208.85333	+17.79508
UGC 8851  	SB(s)dm                                      	IB(s)m                                       	 9.0	 1.00	SB(s)m                                                   	F	208.90950	+39.71606
NGC 5376  	SA(\underline{r}s,l)ab                       	SA(rs)a                                      	 1.5	 0.00	SA(rs)\underline{a}b                                     	M	208.81694	+59.50670
NGC 5360  	S: sp / E(d)6                                	Sm sp /E(d)6                                 	 9.0	     	Sm: sp /E(d)6                                            	 	208.91116	+04.98475
NGC 5371  	SAB(r\underline{s})b                         	SAB(s,nl)b                                   	 3.0	 0.50	SAB(s,nl)b                                               	G	208.91676	+40.46177
PGC 49521 	SB(s)dm: pec                                 	SAB(s)dm pec                                 	 8.0	 0.75	SA\underline{B}(s)dm: pec                                	F	208.93954	-06.00492
NGC 5363  	E3                                           	E3                                           	-5.0	     	E3                                                       	 	209.03018	+05.25470
NGC 5364  	SA(r,is)b                                    	SA(r,s)bc                                    	 3.5	 0.00	SA(r,s)\underline{b}c                                    	M	209.05002	+05.01446
NGC 5377  	(R_1_)SA\underline{B}_x(s,nl)0/a             	(R_1_')SAB_xa_(l,nl)a                        	 0.5	 0.62	(R_1_')SAB_{xa}_(r'l,nl)0/\underline{a}                  	 	209.06946	+47.23556
NGC 5375  	(R')SB_a(\underline{r}s,bl)a                 	SB_a(rs)ab                                   	 1.5	 1.00	(R')SB_a_(rs,bl)\underline{a}b                           	M	209.23327	+29.16429
NGC 5383  	SB(rs,nr)a                                   	SB(s,nr)ab                                   	 1.5	 1.00	SB(r\underline{s},nr)\underline{a}b                      	F	209.27075	+41.84600
UGC 8877  	SB(s)dm                                      	SAB(s)dm                                     	 8.0	 0.75	SA\underline{B}(s)dm                                     	F	209.27942	+41.79286
UGC 8892  	SAB(s)dm                                     	SAB(s)dm                                     	 8.0	 0.50	SAB(s)dm                                                 	F	209.42154	+57.00108
ESO 510-26	SABm:                                        	Im                                           	 9.5	 0.50	S/IAB:m:                                                 	 	209.39729	-25.79178
IC 4351   	SA(s)b: spw                                  	SA:(s)b sp                                   	 3.0	 0.00	SA:(s)b spw                                              	M	209.47607	-29.31573
UGC 8909  	SAB(r\underline{s})c:                        	SA(s)dm:                                     	 6.5	 0.25	S\underline{A}B(s)c\underline{d}:                        	F	209.65804	+60.79714
UGC 8899  	SA(s)cd: sp                                  	SAB(s)cd:                                    	 6.0	 0.25	S\underline{A}B(s)cd: sp                                 	 	209.73170	+21.98822
NGC 5403  	Sab spw                                      	Sab spw or Sc spw / E6                       	 2.0	     	Sab spw                                                  	 	209.96196	+38.18239
PGC 49824 	dE5 /Sph                                     	S\underline{A}B0^-^                          	-3.0	 0.25	S\underline{A}B0^-^                                      	 	209.98762	+38.20074
NGC 5422  	SB_x0^+^ sp                                  	SAB_ax_0^o^ sp / E(d)8                       	-1.5	 0.75	SA\underline{B}_{ax}_0^{o/+}^ sp                         	 	210.17526	+55.16448
NGC 5430  	(R')SB(s,tb)b                                	(R_1_')SB(s,nl)b                             	 3.0	 1.00	(R_1_')SB(s,nl)b                                         	M	210.19092	+59.32865
NGC 5425  	Sdm: sp                                      	SAB(s)dm sp                                  	 8.0	 0.50	SAB:(s:)dm: sp                                           	 	210.19864	+48.44384
ESO 445-89	SB(s)d                                       	SB(s)d                                       	 7.0	 1.00	SB(s)d                                                   	F	210.26680	-30.32726
